﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
27976138;Coche;SMARTCARD;READER1;;;00000000000;;3.11;;SMARTCARD;A10;;"Coche ";"02.12.2019 16:17";;;"ALFA NORDIC SL";OK;-
27987493;Coche;"IVECO STRALIS";8786-JXL;+4549336539;862462031266587;;862462031266587;;;Ruptela;"FM-TCO4 HCV";1381.1216103003;"Coche ";"11.11.2019 16:30";"Vodafone Spain->Spain";Activa;"TRANSPOR SALINAS SL";"NODATA (NOPOWER)";"78d 4h 40min "
27987497;Coche;7978-HLW;3316;+37129325295;359632107623198;;1104993837;01.00.13;;TELTONIKA;FMB640;1381.1070100035;"Coche ";"19.12.2019 12:28";;Activa;"SARFA SL";OK;"1min "
27989040;Coche;"IVECO STRALIS";2423-JYH;+4549336543;862462031346652;;862462031346652;;;Ruptela;"FM-TCO4 HCV";1381.1216103003;"Coche ";"25.11.2019 16:24";"Orange Espagne S.A.U->Spain";Activa;"TRANSPOR SALINAS SL";"NODATA (NOPOWER)";"7d 19h 9min "
27989260;Coche;"IVECO STRALIS";0016-JTD;+4549336562;868324025030326;;868324025030326;;;Ruptela;"FM-TCO4 HCV";1381.7550303005;"Coche ";"28.11.2019 09:26";;Desconocido;"TRANSPOR SALINAS SL";OK;-
27989261;Coche;"IVECO STRALIS";0017-JTD;+4549336560;868324025025292;;868324025025292;;;Ruptela;"FM-TCO4 HCV";1381.1216103004;"Coche ";"28.11.2019 09:26";"Vodafone Spain->Spain";Desconocido;"TRANSPOR SALINAS SL";"NODATA (NOPOWER)";"78d 3h 21min "
27989262;Coche;"IVECO STRALIS";2446-HNP;+4549336552;868324025032769;;868324025032769;;;Ruptela;"FM-TCO4 HCV";1381.1072109002;"Coche ";"28.11.2019 09:26";;Desconocido;"TRANSPOR SALINAS SL";"NODATA (NOPOWER)";"671d 21h 1min "
27989263;Coche;"IVECO STRALIS";2718-GPT;+4549336517;864547032321734;;864547032321734;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";;Desconocido;"TRANSPOR SALINAS SL";"NODATA (NOPOWER)";"1576d 17h 44min "
27989264;Coche;"IVECO STRALIS";2726-GPT;+4549336504;862462039596589;;862462039596589;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";;Inactivo;"TRANSPOR SALINAS SL";"NODATA (NOPOWER)";"671d 17h 28min "
27989271;Coche;"IVECO STRALIS";4981-JTD;+4549336556;868324024986015;;868324024986015;;;Ruptela;"FM-TCO4 HCV";1381.1216103004;"Coche ";"28.11.2019 09:26";;Desconocido;"TRANSPOR SALINAS SL";NODATA;"33d 1h 22min "
27989272;Coche;"IVECO STRALIS";4992-JTD;+4549336557;868324024969946;;868324024969946;;;Ruptela;"FM-TCO4 HCV";1381.1216103004;"Coche ";"28.11.2019 09:26";"Orange Espagne S.A.U->Spain";Desconocido;"TRANSPOR SALINAS SL";"NODATA (NOPOWER)";"78d 41min "
27989273;Coche;"IVECO STRALIS";4997-JTD;+4549336559;868324024000825;;868324024000825;;;Ruptela;"FM-TCO4 HCV";1381.1216103004;"Coche ";"28.11.2019 09:26";"Vodafone Spain->Spain";Desconocido;"TRANSPOR SALINAS SL";"NODATA (NOPOWER)";"1d 2h 59min "
27989279;Coche;"IVECO STRALIS";7182-JWH;+4549336547;862462030838212;;862462030838212;;;Ruptela;"FM-TCO4 HCV";1381.1216103003;"Coche ";"28.11.2019 09:26";;Desconocido;"TRANSPOR SALINAS SL";NODATA;"78d 3h 31min "
27989280;Coche;"IVECO STRALIS";8268-JVT;+4549336540;862462031732265;;862462031732265;;;Ruptela;"FM-TCO4 HCV";1381.1216103004;"Coche ";"28.11.2019 09:26";;Desconocido;"TRANSPOR SALINAS SL";OK;"24min "
27989281;Coche;"Citroen Jumpy";8283-GSL;+4549336515;864547032473519;;864547032473519;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";"Telefónica Móviles España->Spain";Inactivo;"TRANSPOR SALINAS SL";NODATA;"5d 12h 33min "
27989285;Coche;"Citroen Berlingo";2129-LPR;+4549336551;356307046037619;;356307046037619;-;;TELTONIKA;FM11;;"Coche ";"28.11.2019 09:26";;Inactivo;"TRANSPOR SALINAS SL";"OK (NOGPS)";"4min "
27989288;Coche;"IVECO STRALIS";9349-JLC;+4549336538;862462031547135;;862462031547135;;;Ruptela;"FM-TCO4 HCV";1381.7550303007;"Coche ";"28.11.2019 09:26";"Telefónica Móviles España->Spain";Desconocido;"TRANSPOR SALINAS SL";"NODATA (NOPOWER)";"77d 12h 18min "
27989289;Coche;"IVECO STRALIS";R-0138-BCZ;+4549336510;862462037608980;;862462037608980;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";"Telecom Italia S.p.A.->Italy";Desconocido;"TRANSPOR SALINAS SL";OK;-
27989290;Coche;"IVECO STRALIS";R-1152-BCS;+4549336522;864547032231339;;864547032231339;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";"Telefónica Móviles España->Spain";Desconocido;"TRANSPOR SALINAS SL";OK;-
27989291;Coche;"IVECO STRALIS";R-1237-BBN;+4549336511;864547031956233;;864547031956233;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";"Telefónica Móviles España->Spain";Desconocido;"TRANSPOR SALINAS SL";"NODATA (NOPOWER)";"484d 5h 45min "
27989292;Coche;"Eco4 Light";R-6809-BDH;+4549336521;862462037644506;;862462037644506;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";"Telefónica Móviles España->Spain";Desconocido;"TRANSPOR SALINAS SL";OK;"1min "
27989293;Coche;"Eco4 Light";"R-1820-BCJ fallo";+4549336535;862462037634424;;862462037634424;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";"Wind Tre->Italy";Inactivo;"TRANSPOR SALINAS SL";NODATA;"77d 3h 48min "
27989294;Coche;"Eco4 Light";R-6816-BDH;+4549336532;862462039526941;;862462039526941;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";"Telefónica Móviles España->Spain";Inactivo;"TRANSPOR SALINAS SL";OK;"1min "
27989295;Coche;"IVECO STRALIS";R-1433-BBS;+4549336500;862462037850624;;862462037850624;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";;Inactivo;"TRANSPOR SALINAS SL";NODATA;"1157d 3h 32min "
27989296;Coche;"IVECO STRALIS";R-6812-BDH;+4549336529;862462037645107;;862462037645107;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:26";"Vodafone Spain->Spain";Desconocido;"TRANSPOR SALINAS SL";OK;-
27989297;Coche;"IVECO STRALIS";R-1821-BCJ;+4549336513;864547032469012;;864547032469012;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:27";"Orange Espagne S.A.U->Spain";Desconocido;"TRANSPOR SALINAS SL";NODATA;"268d 5h 26min "
27989298;Coche;"IVECO STRALIS";R-1823-BCJ;+4549336534;864547031989184;;864547031989184;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:27";"Orange Espagne S.A.U->Spain";Inactivo;"TRANSPOR SALINAS SL";NODATA;"274d 20h 46min "
27989299;Coche;"IVECO STRALIS";R-1824-BCJ;+4549336525;864547031988061;;864547031988061;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:27";;Inactivo;"TRANSPOR SALINAS SL";NODATA;"1073d 2h 52min "
27989300;Coche;"IVECO STRALIS";R-1825-BCJ;+4549336514;864547032231321;;864547032231321;;;Ruptela;ECO4;;"Coche ";"28.11.2019 09:27";"Vodafone Spain->Spain";Desconocido;"TRANSPOR SALINAS SL";NODATA;"273d 38min "
