﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28067785;Coche;SERVIDOR;SMARTCARD;;;00000000000;;3.8;;SMARTCARD;A10;;"Coche ";"10.11.2022 18:11";;;"Auto Elèctric Molet S.L.";OK;-
28154073;Coche;Subaru;1161CXG;+371300000006023;350544506847253;;1126020341;;;TELTONIKA;FMB920;;"Coche ";"22.05.2023 19:17";"Orange Espagne S.A.U->Spain";Activa;"Juma Logistic S.L.";"NODATA (NOPOWER)";"13d 21h 31min "
28173356;Coche;Mercedes;B3943VX;+37129497289;863286024322779;8937101122100052070;863286024322779;;;QUECLINK;GV65;;"Coche ";"24.01.2023 18:51";;Activa;"Contenidors Bou S.L.";OK;-
28174082;Coche;Volvo;2851MBK;+37125667614;866728061238670;8937101122100052179;1127981070;;;TELTONIKA;FMC640;1381.1562313008;"Coche ";"07.11.2022 17:06";"Telefónica Móviles España->Spain";Activa;"Joan Jolis Jufre";OK;-
28174085;Coche;Renault;0849LWX;+37127332835;866728061183694;8937101122100052062;1127989173;;;TELTONIKA;FMC640;1381.1052309003;"Coche ";"09.11.2022 10:06";"Orange Espagne S.A.U->Spain";Activa;"Alfonso Cañada Borrego";"NODATA (NOPOWER)";"5d 15h 48min "
28174518;Coche;Iveco;7649KNK;+37129361732;866728061183512;8937101122100052047;1127989121;;;TELTONIKA;FMC640;1381.1522103002;"Coche ";"21.11.2022 12:34";"Vodafone Spain->Spain";Activa;"Can Corretja S.L.";OK;-
28174520;Coche;MAN;9125MBB;+37128073374;866728061238548;8937101122100052054;1127981073;;;TELTONIKA;FMC640;1381.1621043004;"Coche ";"10.11.2022 09:46";"Orange Espagne S.A.U->Spain";Activa;"Ramon Puig Espelt";OK;-
28174994;Coche;Scania;4247JBR;+37127341256;866728061183470;8937101122100052161;1127989122;;;TELTONIKA;FMC640;900208R7.4/05R04;"Coche ";"15.11.2022 15:51";"Vodafone Spain->Spain";Activa;"Transiri 2017 S.L.";OK;"5min "
28174995;Coche;Nissan;8751FRM;+37125707921;866728061231022;8937101122100052153;1127981800;;;TELTONIKA;FMC640;1381.7550303008;"Coche ";"14.11.2022 17:36";"Telefónica Móviles España->Spain";Activa;"Carles Batlle Rifa";OK;"5min "
28176402;Coche;Mercedes;4550HCM;+37127327230;866728061183702;8937101122100052039;1127989174;;;TELTONIKA;FMM640;900208R7.1/08R03;"Coche ";"09.01.2023 12:08";"Vodafone Spain->Spain";Activa;"Graves i excavacions Castellot S.A.";OK;-
28176403;Coche;Volvo;0559MCJ;+37128030238;866728061183561;8937101122100052187;1127989120;;;TELTONIKA;FMM640;1381.1232303002;"Coche ";"28.12.2022 18:24";"Orange Espagne S.A.U->Spain";Activa;"CON WAY S COOP Valenciana";OK;"1min "
28184012;Coche;Renault;1495JDN;+371300000026391;350317177198284;;1129321125;;;TELTONIKA;FMB920;;"Coche ";"27.03.2023 17:07";"Orange Espagne S.A.U->Spain";Activa;"Transports, recollida i serveis d'Osona S.L.";OK;"3min "
28184050;Coche;MAN;0260JVB;+371300000026411;350317176674483;;1129321124;;;TELTONIKA;FMB920;;"Coche ";"28.09.2023 15:18";"Vodafone Spain->Spain";Activa;"Transports, recollida i serveis d'Osona S.L.";OK;"2min "
28184053;Coche;Mitsubishi;3565FZB;+371300000026408;350317176668600;;1129321168;;;TELTONIKA;FMB920;;"Coche ";"15.03.2023 13:27";"Orange Espagne S.A.U->Spain";Activa;"Juma Logistic S.L.";"NODATA (NOPOWER)";"39d 1h 9min "
28187419;Coche;Mercedes;2227HBH;+37129471742;866728061221593;8937101122100052112;1127982222;;;TELTONIKA;FMC640;900208R7.1/08R03;"Coche ";"09.01.2023 12:22";"Telefónica Móviles España->Spain";Activa;"Graves i excavacions Castellot S.A.";OK;-
28187421;Coche;Mercedes;5530GKJ;+37127807208;866728061324157;8937101122100052104;1127981318;;;TELTONIKA;FMC640;1381.7550303005;"Coche ";"09.01.2023 12:30";"Orange Espagne S.A.U->Spain";Activa;"Graves i excavacions Castellot S.A.";OK;"6min "
28187422;Coche;MAN;6571JGT;+37128647098;860264051963032;8937101122100052096;1128780715;;;TELTONIKA;FMC640;900208R7.4/04R04;"Coche ";"16.01.2023 13:46";"Orange Espagne S.A.U->Spain";Activa;"Graves i excavacions Castellot S.A.";OK;-
28187424;Coche;Mercedes;4188KSV;+37125745363;860264059499468;8937101122100052088;1128935398;;;TELTONIKA;FMC640;1381.2502003001;"Coche ";"12.01.2023 10:10";"Telefónica Móviles España->Spain";Activa;"Graves i excavacions Castellot S.A.";OK;"6min "
28187695;Coche;Mercedes;0280JGG;+37126490309;860264059499385;8937101122100052195;1128935397;;;TELTONIKA;FMC640;1381.2010009005;"Coche ";"13.01.2023 19:07";"Telefónica Móviles España->Spain";Activa;"Graves i excavacions Castellot S.A.";OK;"2min "
28187696;Coche;Mercedes;9637LDW;+37126375426;860264051954932;8937101122100052203;1128780967;;;TELTONIKA;FMC640;1381.2502033003;"Coche ";"11.01.2023 18:48";"Telefónica Móviles España->Spain";Activa;"Graves i excavacions Castellot S.A.";OK;"1min "
28187697;Coche;Mercedes;3122FWS;+37125497659;866728061238944;8937101122100052229;1127982348;;;TELTONIKA;FMC640;1381.7550303005;"Coche ";"16.01.2023 18:39";"Telefónica Móviles España->Spain";Activa;"Graves i excavacions Castellot S.A.";OK;"2min "
28187698;Coche;Mercedes;6156JVR;+37128660731;866728061238928;8937101122100052211;1127982350;;;TELTONIKA;FMC640;1381.2014003002;"Coche ";"13.01.2023 09:47";"Telefónica Móviles España->Spain";Activa;"Graves i excavacions Castellot S.A.";OK;"1min "
28187699;Coche;Volvo;6288GYG;+37128323931;866728061091897;8937101122100052120;1127984486;;;TELTONIKA;FMC640;;"Coche ";"30.01.2023 12:51";"Telefónica Móviles España->Spain";Activa;"Conills Cremades S.L.";OK;"3min "
28187700;Coche;MAN;4445KGD;+37120219855;866728061091616;8937101122100052138;1127988783;;;TELTONIKA;FMC640;900208R7.6/09R06;"Coche ";"30.01.2023 09:38";"Orange Espagne S.A.U->Spain";Activa;"Transports, recollida i serveis d'Osona S.L.";OK;-
28187701;Coche;MAN;1310KSK;+37126451240;860264059498890;8937101122100052146;1128935353;;;TELTONIKA;FMC640;900208R7.6/04R07;"Coche ";"10.01.2023 18:03";"Orange Espagne S.A.U->Spain";Activa;"Transports, recollida i serveis d'Osona S.L.";OK;-
28188852;Coche;MAN;0194LHV;+37125677871;860264059499401;8937101122100051510;1128935379;01.02.22;;TELTONIKA;FMC640;1381.1511043002;"Coche ";"23.01.2023 11:26";"Orange Espagne S.A.U->Spain";Activa;"Movecoop S.C.C.L.";OK;"5min "
28188853;Coche;Volvo;7676JWC;+37126373913;866728061238910;8937101122100052278;1127982351;;;TELTONIKA;FMC640;1381.1232303002;"Coche ";"20.01.2023 11:28";"Telefónica Móviles España->Spain";Activa;"Movecoop S.C.C.L.";OK;-
28188854;Coche;Mercedes;5058LPY;+37126674630;860264059485848;8937101122100051908;1128935312;;;TELTONIKA;FMC640;1381.2502033003;"Coche ";"23.01.2023 09:25";"Telefónica Móviles España->Spain";Activa;"Graves i excavacions Castellot S.A.";OK;"1min "
28188856;Coche;Volvo;5104JPR;+37128069962;860264059500059;8937101122100051890;1128938460;;;TELTONIKA;FMC640;1381.1232303002;"Coche ";"20.01.2023 17:26";"Telefónica Móviles España->Spain";Activa;"Movecoop S.C.C.L.";OK;"6min "
28188857;Coche;Scania;4581LYJ;+37127771090;860264059498718;8937101122100051882;1128935313;;;TELTONIKA;FMC640;900208R7.4/05R04;"Coche ";"27.01.2023 11:06";"Telefónica Móviles España->Spain";Activa;"Josep Griells Morera";OK;-
28188858;Coche;Iveco;8802KLV;+37120284321;860264059496266;8937101122100051874;1128935376;;;TELTONIKA;FMC640;1381.1552103003;"Coche ";"16.01.2023 12:33";"Orange Espagne S.A.U->Spain";Activa;"Transports, recollida i serveis d'Osona S.L.";OK;-
28188859;Coche;MAN;2724KVS;+37128056033;860264059510124;8937101122100051866;1128934563;;;TELTONIKA;FMC640;1381.1511003002;"Coche ";"27.01.2023 11:03";"Vodafone Spain->Spain";Activa;"Transports, recollida i serveis d'Osona S.L.";OK;-
28188860;Coche;DAF;2976LKJ;+37127825146;860264059517491;8937101122100051858;1128935214;;;TELTONIKA;FMC640;1381.1055303001;"Coche ";"23.01.2023 13:23";"Telefónica Móviles España->Spain";Activa;"Distribució 99 S.L.";OK;-
28188862;Coche;Scania;9792MDH;+37128611795;860264059498502;8937101122100051841;1128935310;;;TELTONIKA;FMC640;900588RG20R02;"Coche ";"19.01.2023 18:54";"Vodafone Spain->Spain";Activa;"Contenidors Bou S.L.";OK;"1min "
28188863;Coche;MAN;2820LMD;+37128070035;866728061102850;8937101122100051833;1127978979;;;TELTONIKA;FMC640;900588RD25R01;"Coche ";"20.01.2023 17:42";"Telefónica Móviles España->Spain";Activa;"Transports, recollida i serveis d'Osona S.L.";OK;"1min "
28189700;Coche;Merlo;E1339BDD;+371300000050793;350317178595173;;1129769494;;;TELTONIKA;FMB920;;"Coche ";"01.12.2023 13:02";"Vodafone Spain->Spain";Activa;"Mecanicas Vicavi S.L.";"NODATA (NOPOWER)";"12d 19h 18min "
28189726;Coche;"Sampo Rosenlew";FR48;+371300000050396;350317178572214;;1129757712;;;TELTONIKA;FMB920;;"Coche ";"20.11.2023 09:20";"Telefónica Móviles España->Spain";Activa;"Treballs forestals Preseguer S.L.";OK;-
28189740;Coche;Volvo;T61-5500FJN;+371300000050783;350317178595090;;1129769488;;;TELTONIKA;FMB920;;"Coche ";"14.06.2024 12:52";"Orange Espagne S.A.U->Spain";Activa;"Arenes i graves Castellot S.A.";OK;-
