﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28068198;Coche;TACOGRAFO;"SERVIDOR TACO";;;00000000000;;3.8;;SMARTCARD;A10;;"Coche ";"07.02.2023 12:25";;;"BARCINO TELECOM";OK;-
28153265;Coche;"RENAULT MAXITY";9069GBV;+371300000006194;350544501894201;;1125771559;;;TELTONIKA;FMB920;;"Coche ";"18.01.2023 14:55";"Telefónica Móviles España->Spain";Activa;"BARCINO TELECOM";"NODATA (NOPOWER)";"277d 5h 6min "
28153275;Coche;"IVECO 35C14";4022FKJ;+371300000006187;350544501894003;;1125772881;;;TELTONIKA;FMB920;;"Coche ";"18.01.2023 15:03";"Orange Espagne S.A.U->Spain";Activa;"BARCINO TELECOM";"NODATA (NOPOWER)";"260d 21h 28min "
28167024;Coche;"RENAULT MAGNUN 440.18T";4146JXS;+371300000022395;860264051971241;247012500145635;1127589932;;;TELTONIKA;FMC640;;"Coche ";"19.12.2022 12:32";"Telefónica Móviles España->Spain";Activa;"MOROCO 2009 SL";"NODATA (NOPOWER)";"2h 54min "
28167028;Coche;"IVECO STRALIS";0538JTD;+371300000022373;866728061404595;247012500145613;1127576946;;;TELTONIKA;FMC640;1381.1216103004;"Coche ";"30.11.2022 11:43";"Telefónica Móviles España->Spain";Activa;"MOROCO 2009 SL";OK;"1min "
28167031;Coche;"RENAULT MAGNUM 460.18T";5470GZN;+371300000022361;860264051961903;247012500145601;1127588514;;;TELTONIKA;FMC640;;"Coche ";"24.02.2023 10:40";"Orange Espagne S.A.U->Spain";Activa;"BARCINO TELECOM";OK;"4min "
28167202;Coche;RENAULT;1021LYN;+371300000022366;860264051971126;247012500145606;1127591839;;;TELTONIKA;FMC640;;"Coche ";"26.01.2023 12:46";"Xfera Moviles SA->Spain";Activa;"BARCINO TELECOM";NODATA;"418d 54min "
28167254;Coche;"RENAULT T460 T4X2 E6";1901KFY;+371300000022418;866728061404512;247012500145658;1127576978;;;TELTONIKA;FMC640;1381.1212303002;"Coche ";"20.12.2022 10:35";"Telefónica Móviles España->Spain";Activa;"MOROCO 2009 SL";"NODATA (NOPOWER)";"56d 2h 36min "
28167263;Coche;"MERCEDES ACTROS 1848LS";4649KLP;+371300000022416;866728061404645;247012500145656;1127576925;;;TELTONIKA;FMC640;1381.2502003001;"Coche ";"03.05.2023 15:26";"Xfera Moviles SA->Spain";Activa;"BARCINO TELECOM";"NODATA (NOPOWER)";"215d 5h 49min "
28167271;Coche;"MERCEDES ACTROS 1842LS";8196HVC;+371300000021252;860264052044345;247012500144492;1127580786;;;TELTONIKA;FMC640;1381.2010009005;"Coche ";"03.02.2023 14:02";"Telefónica Móviles España->Spain";Activa;"MOROCO 2009 SL";"NODATA (NOPOWER)";"6d 3h 34min "
28167304;Coche;"RENAULT T460";5477HZP;+371300000021037;860264051964733;247012500144277;1127592715;;;TELTONIKA;FMC640;1381.1212309007;"Coche ";"21.02.2023 14:47";"Orange Espagne S.A.U->Spain";Activa;"MOROCO 2009 SL";"NODATA (NOPOWER)";"117d 39min "
28167365;Coche;"RENAULT MAGNUN 460 18T";6332GJF;+371300000022359;860264052047389;247012500145599;1127578594;;;TELTONIKA;FMC640;;"Coche ";"09.02.2023 15:21";"Telefónica Móviles España->Spain";Activa;"BARCINO TELECOM";OK;"2min "
28167369;Coche;"MERCEDES ACTROS 1842LS";3308HVF;+371300000021024;860264052029734;247012500144264;1127578863;;;TELTONIKA;FMC640;;"Coche ";"02.02.2023 12:07";"Vodafone Spain->Spain";Activa;"BARCINO TELECOM";"NODATA (NOPOWER)";"250d 22h 37min "
28167475;Coche;"MERCEDES ACTROS 1842LS";9975HVH;+371300000022368;866728061404579;247012500145608;1127576941;;;TELTONIKA;FMC640;1381.2214303002;"Coche ";"02.02.2023 14:49";"Orange Espagne S.A.U->Spain";Activa;"MOROCO 2009 SL";OK;"1min "
28167485;Coche;"RENAULT PREMIUM";8637JKJ;+371300000021123;860264052078756;247012500144363;1127591327;;;TELTONIKA;FMC640;1381.1052309003;"Coche ";"21.02.2023 08:51";"Orange Espagne S.A.U->Spain";Activa;"MOROCO 2009 SL";OK;"1min "
28167492;Coche;"RENAULT T460 T4X2 E6";1900KFY;+371300000021085;860264052099265;247012500144325;1127592440;;;TELTONIKA;FMC640;1381.1212303002;"Coche ";"02.12.2022 13:31";"Telefónica Móviles España->Spain";Activa;"MOROCO 2009 SL";"NODATA (NOPOWER)";"13d 4h 28min "
28167493;Coche;"RENAULT T460 T4X2 E6";1905KFY;+371300000021083;860264052078699;247012500144323;1127578827;;;TELTONIKA;FMC640;1381.1212303002;"Coche ";"02.12.2022 13:34";"Orange Espagne S.A.U->Spain";Activa;"MOROCO 2009 SL";OK;"3min "
28180015;Coche;"MERCEDES ACTROS 1848LS";0298JNW;+371300000020892;860264059562588;;1128777376;;;TELTONIKA;FMC640;1381.2010009005;"Coche ";"05.09.2023 14:51";"Telefónica Móviles España->Spain";Activa;"DAVID MIGUEL MARTIN LASO";OK;-
28180016;Coche;"IVECO ML180E32 EUROCARGO";7849MGC;+371300000020921;860264051979095;;1128779155;;;TELTONIKA;FMC640;1381.1522113004;"Coche ";"18.04.2023 08:20";"Orange Espagne S.A.U->Spain";Activa;"CAMIONES GRUA GRUAMEN 2022, S.L";OK;-
