﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28021710;Coche;"RENAULT MASTER";9426MDF;+37126148562;359633108797718;;1108896745;03.25.15;;TELTONIKA;FMB204;;"Coche ";"18.01.2023 11:34";"Orange Espagne S.A.U->Spain";Activa;"SUHIMAR SUMINISTRES HIDRAULICS SL";OK;"1min "
28114039;Coche;REMOLQUE;R0394BDL;+37120299871;357073298577632;;1121720886;;;TELTONIKA;FMB204;;"Coche ";"07.03.2023 08:44";Altice->France;Activa;"OLANO SEAFOOD S.L.";OK;-
28141032;Coche;"VEHICULO TALLER";0564KGK;+37122465295;357073291724868;247012500124751;1121564936;;;TELTONIKA;FMB125;;"Coche ";"15.03.2023 10:01";"Vodafone Spain->Spain";Activa;"BOLOUS TALLERS SL (SISCAR)";"NODATA (NOPOWER)";"503d 19h 23min "
28141033;Coche;"VEHICULO TALLER";GI7196BT;+37128703057;357073291718068;247012500124840;1121565416;;;TELTONIKA;FMB125;;"Coche ";"15.03.2023 10:28";"Vodafone Spain->Spain";Activa;"BOLOUS TALLERS SL (SISCAR)";"NODATA (NOPOWER)";"503d 19h 15min "
28141035;Coche;"VEHICULO TALLER";5724CVL;+37126219462;357073291717847;247012500124754;1121565427;;;TELTONIKA;FMB125;;"Coche ";"15.03.2023 10:37";"Vodafone Spain->Spain";Activa;"BOLOUS TALLERS SL (SISCAR)";"NODATA (NOPOWER)";"503d 19h 10min "
28141036;Coche;"VEHICULO TALLER";0603LSP;+37126273073;357073291730873;247012500124831;1121567880;;;TELTONIKA;FMB125;;"Coche ";"15.03.2023 08:36";"Vodafone Spain->Spain";Activa;"BOLOUS TALLERS SL (SISCAR)";"NODATA (NOPOWER)";"503d 19h 22min "
28167039;Coche;DAF;"8895LWR - JUAN CARLOS";+371300000022289;860264051964253;247012500145529;1127592186;;;TELTONIKA;FMC640;900588RD30R03;"Coche ";"27.02.2023 09:25";"Telefónica Móviles España->Spain";Activa;"TRANSPORTS DEL MARESME";OK;"7min "
28167128;Coche;MAN;4177MDF;+371300000021181;860264051971159;247012500144421;1127589921;;;TELTONIKA;FMC640;900588RG40R01;"Coche ";"13.04.2023 16:39";"Orange Espagne S.A.U->Spain";Activa;"MATERIALS DOROTEA SL";OK;"6min "
28167136;Coche;MAN;3443BZB;+371300000021029;860264051970276;247012500144269;1127592113;;;TELTONIKA;FMC640;1381.7550303007;"Coche ";"28.02.2023 10:40";"Vodafone Spain->Spain";Activa;"COMERCIAL DE BEBIDAS VIDICO SL";OK;"3min "
28167139;Coche;IVECO;3471-GYM;+371300000021027;860264051970565;247012500144267;1127592610;;;TELTONIKA;FMC640;900208R7.6/05R08;"Coche ";"20.02.2023 09:45";"Orange Espagne S.A.U->Spain";Activa;"AUTOCARES MARESBUS, S.L.U";OK;"7min "
28167296;Coche;"IVECO ";4688DXJ;+371300000021254;860264052040376;247012500144494;1127580753;;;TELTONIKA;FMC640;1381.2214303002;"Coche ";"01.03.2023 10:13";"Telefónica Móviles España->Spain";Activa;"RECICLAJES RODILLA S.L.";OK;"1min "
28167303;Coche;MAN;4557KLP;+371300000021242;860264052050037;247012500144482;1127580751;;;TELTONIKA;FMC640;900208R7.6/04R07;"Coche ";"27.03.2023 09:22";"Xfera Moviles SA->Spain";Activa;"MAMADOU DAYE DIALLO DIALLO";OK;"5min "
28167486;Coche;IVECO;9648GDW;+371300000021104;860264052085447;247012500144344;1127578923;;;TELTONIKA;FMC640;1381.2210309003;"Coche ";"20.03.2023 16:09";"Orange Espagne S.A.U->Spain";Activa;"RECICLAJES RODILLA S.L.";OK;-
28167488;Coche;DAF;5373MDB;+371300000021115;860264052045839;247012500144355;1127591087;;;TELTONIKA;FMC640;1381.1051109005;"Coche ";"24.02.2023 08:33";"Vodafone Spain->Spain";Activa;"CONSTANTINO MUÑOZ SANCHEZ";OK;"6min "
28181323;Coche;TACHO;SERVER;;;00000000000;28181323;3.8;;SMARTCARD;A10;;"Coche ";"20.02.2023 16:29";;;"DEMO ELECTROMOBIL AGUSTI";OK;-
28194451;Coche;RENAULT;0286KXW;+371300000054013;860264059591439;;1129814406;01.02.22;;TELTONIKA;FMC640;1381.1512303003;"Coche ";"30.05.2023 08:45";"Telefónica Móviles España->Spain";Activa;"IVAN BELLES GARCIA";OK;"4min "
28200552;Coche;MAN;9176GVX;+371300000049743;866728065879875;;1130943155;;;TELTONIKA;FMC640;1381.7550303001;"Coche ";"26.05.2023 17:34";"Telefónica Móviles España->Spain";Activa;"FRUITES I VERDURES ROURA SL";OK;-
28200554;Coche;magelys;7703MKL;+371300000049704;860264059591074;;1130009396;;;TELTONIKA;FMC640;1381.7550303007;"Coche ";"01.02.2023 08:30";"Telefónica Móviles España->Spain";Activa;"AUTOCARES MARESBUS, S.L.U";OK;-
28200555;Coche;RENAULT;3219MGT;+371300000049712;860264059660424;;1130012619;;;TELTONIKA;FMC640;1381.1212309007;"Coche ";"09.06.2023 11:13";"Vodafone Spain->Spain";Activa;"TRANSPORTS NAVARRO DONADEU, SL";OK;"7min "
28200556;Coche;RENAULT;1792MHH;+371300000049745;860264059667288;;1130015419;01.02.22;;TELTONIKA;FMC640;1381.1552313014;"Coche ";"13.07.2023 16:58";"Vodafone Spain->Spain";Activa;"ARRIBAS CENTER SL";OK;"1min "
28200560;Coche;MERCEDES;3196JDW;+371300000049676;866728065879719;;1130943157;;;TELTONIKA;FMC640;1381.0010009007;"Coche ";"16.10.2023 10:41";"Vodafone Spain->Spain";Activa;"AUTOCARES DOMINGUEZ IGLESIAS SL";OK;"6min "
28200561;Coche;MAN;8824FFV;+371300000049744;866728065879867;;1130943177;;;TELTONIKA;FMC640;1381.2214303001;"Coche ";"07.07.2023 10:58";"Orange Espagne S.A.U->Spain";Activa;"TRANSPORTS NAVARRO DONADEU, SL";OK;-
28200832;Coche;MERCEDES;2697KRW;+371300000049562;866728065853516;;1130941069;;;TELTONIKA;FMC640;1381.2010009002;"Coche ";"26.06.2023 16:36";"Telefónica Móviles España->Spain";Activa;"FRUITES I VERDURES ROURA SL";OK;-
28200834;Coche;MERCEDES;0150MRT;+371300000049565;866728065889882;;1130941017;;;TELTONIKA;FMC640;900208R7.6/30R08;"Coche ";"19.06.2023 15:55";"Telefónica Móviles España->Spain";Activa;"JAUME MAS MATEU";OK;"4min "
28200835;Coche;MITSUBISHI;5902MHS;+371300000049554;866728065889825;;1130941071;;;TELTONIKA;FMC640;1381.0520113004;"Coche ";"13.07.2023 08:24";"Telefónica Móviles España->Spain";Activa;"GRUAS Y CONT.AGUSTIN LOPEZ E HIJOS SL";OK;-
28200836;Coche;"VOLVO FH";2355MGS;+371300000049448;866728065857061;;1130941426;;;TELTONIKA;FMC640;;"Coche ";"19.06.2023 08:52";"Orange Espagne S.A.U->Spain";Activa;"TRANSPORTES HIJOS DE J. MOYA SL";OK;-
28200837;Coche;MERCEDES;1708JSJ;+371300000049368;866728065856477;;1130941567;;;TELTONIKA;FMC640;1381.2214303001;"Coche ";"14.07.2023 12:02";"Orange Espagne S.A.U->Spain";Activa;"TRANSPORTS NAVARRO DONADEU, SL";OK;"4min "
