﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28022314;Coche;"MERCEDES ACTROS";6725KKB;+467191205546955;354017111511396;;1108974041;03.27.13;;TELTONIKA;FMB140;;"Coche ";"06.10.2023 08:43";;Activa;"Gomariz Sistemas de Elevación S.L.";OK;"5min "
28034891;Coche;"HAULOTTE HA32PX";BA863;+37125680260;354017119350441;;1110358146;03.25.15;;TELTONIKA;FMB920;;"Coche ";"03.06.2021 17:18";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"9min "
28034911;Coche;"HAULOTTE HA260PX";BA481;+37125420101;354017119486161;;1110385153;03.25.15;;TELTONIKA;FMB920;;"Coche ";"03.06.2021 17:18";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"4min "
28034932;Coche;"GENIE GS4390RT";TD800;+37126610940;354017119488985;;1110384952;03.25.15;;TELTONIKA;FMB920;;"Coche ";"03.06.2021 17:17";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28043972;Coche;"HAULOTTE HA16RTJ";BA1348;+37122036157;354018113125870;;1111528949;03.25.15;;TELTONIKA;FMB920;;"Coche ";"01.07.2021 14:32";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"6min "
28043978;Coche;VOLKSWAGEN;1112GWB;+37125734410;354018113130078;;1111528998;03.25.15;;TELTONIKA;FMB920;;"Coche ";"01.07.2021 14:32";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28066541;Coche;"GENIE GS4390";TD1084;+37125438460;352625694167253;;1113364177;03.25.18;;TELTONIKA;FMB920;;"Coche ";"31.12.2021 09:14";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28066543;Coche;"HAULOTTE HA260PX";BA1090;+37129357231;352625694167113;;1113364188;03.25.18;;TELTONIKA;FMB920;;"Coche ";"28.12.2021 13:57";"Telefónica Móviles España->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"5min "
28066544;Coche;"NISSAN CASTAR";CC880;+37125443174;352625690460066;;1113366476;03.25.18;;TELTONIKA;FMB920;;"Coche ";"09.12.2021 13:51";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28066545;Coche;"AGRIMAC TH-30.30";CA1061;+37129438854;352625690460074;;1113366486;03.25.18;;TELTONIKA;FMB920;;"Coche ";"12.01.2022 13:05";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"3min "
28066546;Coche;"HAULOTTE HA32PX";BA1169;+37127326438;352625690457575;;1113366508;03.25.18;;TELTONIKA;FMB920;;"Coche ";"15.12.2021 20:56";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28066548;Coche;"HAULOTTE HA12IP";BA1171;+37127870097;352625690523608;;1113368396;03.25.18;;TELTONIKA;FMB920;;"Coche ";"28.12.2021 16:15";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28066549;Coche;"HAULOTTE HA15IP";BA942;+37128618631;352625690523582;;1113368397;03.25.18;;TELTONIKA;FMB920;;"Coche ";"29.12.2021 09:21";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"1min "
28066550;Coche;"JLG E300AJP";BA418;+37125580289;352625693683169;;1113692200;03.25.18;;TELTONIKA;FMB920;;"Coche ";"28.12.2021 12:13";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"3min "
28066551;Coche;"GENIE Z135/70";BA1089;+37126289172;352625690969314;;1113692434;03.25.18;;TELTONIKA;FMB920;;"Coche ";"09.12.2021 13:49";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28066552;Coche;"JLG 340AJ";BA1322;+37126394297;352625693711432;;1113692438;03.25.18;;TELTONIKA;FMB920;;"Coche ";"15.12.2021 20:53";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28066553;Coche;"HAULOTTE HA12IP";BA1135;+37128017828;352625692963760;;1114117187;03.25.18;;TELTONIKA;FMB920;;"Coche ";"30.12.2021 09:31";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28066554;Coche;"MANITOU 150AETJC";BA736;+37125566884;352625693066498;;1114148775;03.25.18;;TELTONIKA;FMB920;;"Coche ";"28.12.2021 09:34";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"5min "
28066555;Coche;"JLG E450AJ";BA1180;+37126152244;352625693062885;;1114148966;03.25.18;;TELTONIKA;FMB920;;"Coche ";"31.12.2021 09:18";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"4min "
28066556;Coche;"MANITOU 150AETJ";BA683;+37125478176;352625693062760;;1114148967;03.25.18;;TELTONIKA;FMB920;;"Coche ";"31.12.2021 12:00";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28066557;Coche;"JLG 1250AJ";BA874;+37129351485;352625693063016;;1114148969;03.25.18;;TELTONIKA;FMB920;;"Coche ";"27.12.2021 09:23";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";"OK (NOPOWER)";-
28066558;Coche;"JLG E450AJ";BA435;+37129336467;352625693084913;;1114149054;03.25.18;;TELTONIKA;FMB920;;"Coche ";"29.12.2021 15:38";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";"NODATA (NOPOWER)";"69d 20h 28min "
28066559;Coche;"JLG 1350SJP";BT291;+37129396812;352625693083972;;1114155216;03.25.18;;TELTONIKA;FMB920;;"Coche ";"15.12.2021 20:58";"Vodafone Spain->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"1min "
28066560;Coche;"JLG 800AJ";BA581;+37128352180;352625693084046;;1114155230;03.25.18;;TELTONIKA;FMB920;;"Coche ";"09.12.2021 13:47";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28066577;Coche;"HAULOTTE HA15IP";BA1000;+37127339210;352625693156588;;1114144691;03.25.18;;TELTONIKA;FMB920;;"Coche ";"30.12.2021 17:13";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28078513;Coche;"JLG LIFTLUX S180-12E";TE442;+37126610716;352625697385290;;1114980122;03.25.18;;TELTONIKA;FMB920;;"Coche ";"18.02.2022 18:14";"Telefónica Móviles España->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"2min "
28078514;Coche;"GENIE GS4390";TD975;+37128660821;352625696139714;;1114989157;03.25.18;;TELTONIKA;FMB920;;"Coche ";"24.03.2022 10:14";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;-
28078515;Coche;"GENIE GS-3268 RT";TD771;+37128376575;352625696143419;;1114989328;03.25.18;;TELTONIKA;FMB920;;"Coche ";"17.02.2022 14:01";"Orange Espagne S.A.U->Spain";Activa;"Gomariz Sistemas de Elevación S.L.";OK;"5min "
