﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28010136;Coche;"CABINA LAGOS 220V.";PROTOTIPO;+467191208337520;354017110903107;;1107760969;03.27.14;;TELTONIKA;FMB120;;"Coche ";"05.10.2023 20:06";"Vodafone Spain->Spain";Activa;"PINTURAS CARTES";"NODATA (NOGPS)";"271d 5h 16min "
28055031;Coche;"HY-PRO VUD15";"PRUEBA 1";+467191208337380;359633105746338;;1107240172;55.01.10;;TELTONIKA;TFT100;;"Coche ";"25.04.2024 14:34";;Activa;"CARTES SERVICES";"NODATA (NOPOWER)";"11d 2h 56min "
28055032;Coche;HIMOINSA;169160;+467292308337387;359633104984344;;1107240417;55.01.10;;TELTONIKA;TFT100;;"Coche ";"23.10.2023 11:12";;Activa;12648.ALQUILER.MAQ.SEDANO-MAD;OK;"7min "
28055033;Coche;MITSUBISHI;SF18E52265;+467191208337385;359633101303670;;1107247767;55.01.10;;TELTONIKA;TFT100;;"Coche ";"04.06.2024 15:40";;Activa;23988-COMOLI-AND;NODATA;"57d 1h 3min "
28059777;Coche;GL52S;SIGFOX;;C42474;;C42474;;;QUECLINK;GL52S;;"Coche ";"12.03.2024 12:38";;;"CARTES SERVICES";OK;"2h 21min "
28126933;Coche;"MERCEDES SPRINTERMINIBUS";9595LXR;+37120267305;350424069045282;;1123160927;01.02.28;;TELTONIKA;FMB640;1381.0552013004;"Coche ";"05.06.2023 10:35";"Vodafone Spain->Spain";Activa;"24527.HEREDEROS DE ANTONIO-AND";OK;"7min "
28126958;Coche;"IVECO STRALIS";7285FCY;+37126119545;350424069040556;;1123161040;01.02.22;;TELTONIKA;FMB640;;"Coche ";"09.06.2023 12:09";"Orange Espagne S.A.U->Spain";Activa;"14051-EXCAV. HMNOS.CARRASCOSO.SL-MAD";NODATA;"15d 5h 59min "
28127242;Coche;"MERCEDES-BENZ TOURISMO 15RHD";8339GMW;+37127298785;350424068297702;;1123162121;01.02.28;;TELTONIKA;FMB640;;"Coche ";"10.07.2023 11:54";"Vodafone Spain->Spain";Activa;"24527.HEREDEROS DE ANTONIO-AND";OK;"7min "
28127243;Coche;"IRISBUS ANDECAR VII.5";0273GRF;+37126437713;350424069054136;;1123168132;01.02.28;;TELTONIKA;FMB640;;"Coche ";"10.07.2023 12:34";"Orange Espagne S.A.U->Spain";Activa;"24527.HEREDEROS DE ANTONIO-AND";"OK (NOPOWER)";"2min "
28127244;Coche;"MERCEDES-BENZ 416 CDI/BUS";4235FDW;+37127301643;350424069026597;;1123169481;01.02.28;;TELTONIKA;FMB640;;"Coche ";"10.07.2023 12:46";"Orange Espagne S.A.U->Spain";Activa;"24527.HEREDEROS DE ANTONIO-AND";OK;"1min "
28127245;Coche;"VOLKSWAGEN CARFTER 50 SEMI";3857HCK;+37127324325;350424069015129;;1123168731;01.02.28;;TELTONIKA;FMB640;;"Coche ";"10.07.2023 12:38";"Telefónica Móviles España->Spain";Activa;"24527.HEREDEROS DE ANTONIO-AND";OK;"2min "
28127246;Coche;"MERCEDES-BENZ OC 500 RF-1842";3786GYM;+37125736783;350424069065314;;1123163849;01.02.28;;TELTONIKA;FMB640;1381.1070100025;"Coche ";"10.07.2023 12:03";"Orange Espagne S.A.U->Spain";Activa;"24527.HEREDEROS DE ANTONIO-AND";OK;"7min "
28127247;Coche;"CAR-BUS.NET SPICA";7811JCZ;+37122026528;350424069065397;;1123163851;01.02.28;;TELTONIKA;FMB640;1381.0010009007;"Coche ";"10.07.2023 12:09";"Orange Espagne S.A.U->Spain";Activa;"24527.HEREDEROS DE ANTONIO-AND";OK;"1min "
28127248;Coche;"RENAULT MASTER";9616KKC;+37125755953;350424068296142;;1123164288;01.02.28;;TELTONIKA;FMB640;;"Coche ";"10.07.2023 12:32";"Orange Espagne S.A.U->Spain";Activa;"24527.HEREDEROS DE ANTONIO-AND";OK;-
