﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28011339;Coche;"RENAULT T520";"8151KNK NELU CUSCA";+467191208372868;359633109647086;;1107877069;01.02.27;;TELTONIKA;FMB640;1381.1212303002;"Coche ";"12.08.2023 12:31";"Vodafone Spain->Spain";Activa;"- ALQUITRUCK";OK;-
28032963;Coche;"MERCEDES ACTROS";1871HZN;+467191201560380;354017119131445;;1110082119;01.02.22;;TELTONIKA;FMB640;1381.2010009005;"Coche ";"07.12.2022 17:24";"Vodafone Spain->Spain";Activa;"FITOTRANS, S.A.";NODATA;"95d 22h 20min "
28046693;Coche;"IVECO DAILY";5279KMW;+467191205897359;354018114939410;;1111710645;03.27.12;;TELTONIKA;FMB003;;"Coche ";"08.04.2024 09:35";"Orange Espagne S.A.U->Spain";Activa;"TRANSPORTS J GORGORI, SL";OK;"5min "
28046698;Coche;"VOLKSWAGEN CRAFTER";6988GNK;+467191205897342;354018114952512;;1111710893;03.27.12;;TELTONIKA;FMB003;;"Coche ";"08.04.2024 09:36";"Vodafone Spain->Spain";Activa;"TRANSPORTS J GORGORI, SL";OK;-
28052403;Coche;"LECITRAILER (THERMOKING)";"R4762BCS LUCIANO";+37125698658;354018112814730;;1111272728;03.27.07;;TELTONIKA;FMB125;;"Coche ";"15.11.2022 08:47";"Orange Espagne S.A.U->Spain";Activa;"- ALQUITRUCK";NODATA;"332d 14h 40min "
28055847;Coche;"MERCEDES SPRINTER";7208FRR;+467191208337214;354018118945892;;1112493078;03.27.07;;TELTONIKA;FMB140;;"Coche ";"26.03.2023 16:36";;Activa;"FITOTRANS, S.A.";"NODATA (NOPOWER)";"17h 10min "
28055850;Coche;"MERCEDES SPRINTER";0745HWJ;+37127313226;354018118905953;;1112524772;03.27.13;;TELTONIKA;FMB140;;"Coche ";"15.04.2023 14:54";;Activa;"FITOTRANS, S.A.";OK;"1min "
28055851;Coche;"MERCEDES SPRINTER";8291JLL;+37126413736;354018118906175;;1112524774;03.25.16;;TELTONIKA;FMB140;;"Coche ";"16.04.2023 11:18";;Activa;"FITOTRANS, S.A.";OK;"4min "
28055852;Coche;"MERCEDES CITAN";7825HYW;+37128327158;354018118842537;;1112561140;03.25.16;;TELTONIKA;FMB140;;"Coche ";"15.04.2023 11:46";;Activa;"FITOTRANS, S.A.";OK;"6min "
28055853;Coche;"MERCEDES SPRINTER";8325MDV;+467191208337216;354018118842453;;1112561141;03.27.13;;TELTONIKA;FMB140;;"Coche ";"26.03.2023 18:49";;Activa;"FITOTRANS, S.A.";OK;-
28055856;Coche;"MERCEDES SPRINTER";0823HWJ;+467191208337191;354018118940935;;1112561148;03.27.13;;TELTONIKA;FMB140;;"Coche ";"20.04.2023 11:06";;Activa;"FITOTRANS, S.A.";OK;"1min "
28055973;Coche;"MERCEDES SPRINTER";7643LHN;+37125709298;354018118943483;;1112521909;03.27.13;;TELTONIKA;FMB140;;"Coche ";"12.03.2023 19:39";;Activa;"FITOTRANS, S.A.";OK;"1min "
28055975;Coche;"MERCEDES ATEGO";1849CWB;+467191208337195;354018119022345;;1112563494;03.29.00;;TELTONIKA;FMB140;;"Coche ";"20.04.2023 12:36";"Vodafone Spain->Spain";Activa;"FITOTRANS, S.A.";OK;"8min "
28055976;Coche;"CITROEN BERLINGO";8448JGS;+37126169587;354018119021511;;1112563536;03.27.13;;TELTONIKA;FMB140;;"Coche ";"11.03.2023 10:52";;Activa;"FITOTRANS, S.A.";OK;"2min "
28057810;Coche;"MERCEDES ACTROS";7727LWW;+37128344517;354018115961298;;1111962078;01.00.13;;TELTONIKA;FMB640;1381.2502033006;"Coche ";"16.12.2022 18:03";"Telefónica Móviles España->Spain";Activa;"FITOTRANS, S.A.";OK;-
28109820;Coche;"IVECO STRALIS";3161HXN;+467191024106665;350424060321914;;1121232434;01.02.28;;TELTONIKA;FMB640;1381.4212109001;"Coche ";"19.04.2024 15:13";"Vodafone Spain->Spain";Activa;"TRANSPORTS J GORGORI, SL";OK;"2min "
28109821;Coche;"MERCEDES AXOR";7014GRB;+467191208372581;350424060322797;;1121232700;01.00.13;;TELTONIKA;FMB640;;"Coche ";"12.03.2023 17:50";"Vodafone Spain->Spain";Activa;"FITOTRANS, S.A.";OK;-
28110262;Coche;"IVECO STRALIS";"2722KDN DANIEL PIEDRA";+467191208372804;350424062426026;;1121340460;01.02.22;;TELTONIKA;FMB640;1381.1216103003;"Coche ";"24.01.2023 12:53";"Orange Espagne S.A.U->Spain";Activa;"- ALQUITRUCK";OK;-
28110263;Coche;"SCANIA R450";"7297KMP DANIEL PEREIRA";+467191208372809;350424062427230;;1121340186;01.02.22;;TELTONIKA;FMB640;900208R7.6/36R09;"Coche ";"22.11.2023 12:03";"Vodafone Spain->Spain";Activa;"- ALQUITRUCK";OK;-
28112416;Coche;"MERCEDES ACTROS";6016LBN;+467191208372826;350424060061726;;1121410402;01.02.22;;TELTONIKA;FMB640;1381.2502033003;"Coche ";"15.04.2023 11:29";"Vodafone Spain->Spain";Activa;"FITOTRANS, S.A.";OK;"6min "
28112476;Coche;"IVECO STRALIS";"1063JZL  DANIELA HUELVA";+37125764829;350424062510530;;1121383256;01.00.13;;TELTONIKA;FMB640;1381.1216103003;"Coche ";"14.12.2022 12:25";"Orange Espagne S.A.U->Spain";Activa;"- ALQUITRUCK";OK;-
28112478;Coche;"IVECO STRALIS";9296KBY;+467191024106663;350424062571862;;1121391441;01.02.28;;TELTONIKA;FMB640;1381.1216103003;"Coche ";"19.04.2024 17:04";"Vodafone Spain->Spain";Activa;"TRANSPORTS J GORGORI, SL";OK;"1min "
28112480;Coche;"SCANIA R450";"Z- 1560KGR NUNO";+37127320813;350424062435662;;1121411169;01.00.13;;TELTONIKA;FMB640;900208R7.6/36R08;"Coche ";"24.11.2022 12:31";"Orange Espagne S.A.U->Spain";Activa;"- ALQUITRUCK";OK;-
28112484;Coche;"FORD F-MAX 500";"3316LXB MARTIN PEROTTI";+37128398583;350424062558075;;1121394519;01.00.13;;TELTONIKA;FMB640;1381.1571413004;"Coche ";"12.11.2022 07:54";"Telefónica Móviles España->Spain";Activa;"- ALQUITRUCK";NODATA;"32d 23h 43min "
28112486;Coche;"RENAULT T520";"1721LBS LEO QUADROS";+37126519262;350424062577919;;1121400425;01.00.13;;TELTONIKA;FMB640;1381.1552313002;"Coche ";"13.12.2022 15:23";"Orange Espagne S.A.U->Spain";Activa;"- ALQUITRUCK";NODATA;"344d 10h 54min "
28112517;Coche;"SCANIA R450";"0393KDD CHEMI";+467191208372574;350424062515679;;1121411410;01.00.13;;TELTONIKA;FMB640;900208R7.6/05R07;"Coche ";"15.03.2023 14:42";"Orange Espagne S.A.U->Spain";Activa;"- ALQUITRUCK";OK;-
