﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
217320;Coche;"MAN TGX 18.500";3374KXW;+37126628257;351628097925179;247010601696532;217320;1.74;2.3;"Mapon Expert";;900208R7.6/04R08;"Coche ";"23.08.2020 08:28";"Vodafone Spain->Spain";Activa;"TRANSPORTES PIBEJO, S.L.";OK;-
217331;Coche;"MAN TGX 18.510";8446LHN;+467191203571553;351628097949856;240075811756920;217331;1.75;2.3;"Mapon Expert";;900588RA25R03;"Coche ";"07.08.2020 10:31";"Vodafone Spain->Spain";Activa;"TRANSPORTES PIBEJO, S.L.";OK;-
217332;Coche;"MAN TGX 18.640";0804LLW;+467191203571524;351628097828969;240075811756891;217332;1.74;2.3;"Mapon Expert";;1381.1511043002;"Coche ";"06.01.2021 21:49";"Orange Espagne S.A.U->Spain";Activa;"TRANSPORTES PIBEJO, S.L.";NODATA;"15h 49min "
218230;Coche;"VOLVO FM";0523KXY;+37125478531;351628098963625;247010601696971;218230;1.70;2.3;"Mapon Expert";;1381.1562313003;"Coche ";"04.09.2020 20:52";"Vodafone Spain->Spain";Activa;"SOCIEDAD COOPERATIVA PISUERGA INTERNACIONAL";OK;-
218247;Coche;"VOLVO FH";2431HCD;+37126698090;351628098964896;247010601696977;218247;1.75;2.3;"Mapon Expert";;;"Coche ";"27.12.2023 20:26";"Vodafone Spain->Spain";Activa;"TPTES. MAYORGA SANCHEZ, S.L.";OK;"1min "
218423;Coche;"MAN TGX 18.540";"5745LKJ Domingo PM";+467191203571482;351628098964169;240075811756849;218423;1.74;2.3;"Mapon Expert";;900588RG25R01;"Coche ";"17.10.2020 10:05";"Vodafone Spain->Spain";Activa;"JOSE FELIX ALONSO VERGEL";OK;-
218430;Coche;"SCANIA GNL410";8488LCY;+467191203571495;351628098966263;240075811756862;218430;1.70;2.3;"Mapon Expert";;900588RD21R01;"Coche ";"28.11.2019 12:15";"Orange Espagne S.A.U->Spain";Activa;"TRANSPORTES ESTÉBANEZ E HIJOS, S.L.";OK;-
218512;Coche;"DAF XF EURO6";2711JZY;+37127312067;351628098921755;247010601697956;218512;1.70;2.3;"Mapon Expert";;900208R7.6/17R04;"Coche ";"29.11.2019 16:25";"Vodafone Spain->Spain";Activa;"TRANSPORTES ESTÉBANEZ E HIJOS, S.L.";OK;"1min "
218515;Coche;"IVECO EUROCARGO";5069JWD;+37127335325;351628098962213;247010601697955;218515;1.70;2.3;"Mapon Expert";;1381.4076101001;"Coche ";"25.06.2020 17:47";"Telefónica Móviles España->Spain";Activa;"TRANSPORTES ESTÉBANEZ E HIJOS, S.L.";OK;-
218528;Coche;"VOLVO FH";4964LDX;+37128699185;351628098952388;247010601697980;218528;1.73;2.3;"Mapon Expert";;1381.1232309007;"Coche ";"25.06.2020 21:07";"Vodafone Spain->Spain";Activa;"TRANSPORTES Y SERVICIOS AGRICOLAS GIL MARUGAN, S.L.";NODATA;"1d 10h 20min "
218574;Coche;"MAN TGX 18.540";8918LDG;+37125479666;351628099027685;247010601697963;218574;1.74;2.3;"Mapon Expert";;900588RG25R01;"Coche ";"19.09.2020 16:37";"Orange Espagne S.A.U->Spain";Activa;"JOSE FELIX ALONSO VERGEL";NODATA;"78d 3h 29min "
218575;Coche;"MAN TGX 18.540";"8977LDG Leandro PM";+37127855066;351628099028675;247010601697954;218575;1.74;2.3;"Mapon Expert";;900588RA25R03;"Coche ";"20.09.2020 09:49";"Vodafone Spain->Spain";Activa;"JOSE FELIX ALONSO VERGEL";NODATA;"64d 6h 46min "
218576;Coche;"MAN TGX 18.520";"1032MPC Nico PM";+37127898478;351628099027768;247010601697972;218576;1.75;2.3;"Mapon Expert";;900773R/40R03;"Coche ";"15.03.2024 12:37";"Telefónica Móviles España->Spain";Activa;"JOSE FELIX ALONSO VERGEL";OK;"1min "
218578;Coche;"MAN TGX 18.520";"1040MPC Goyo PM";+37128658231;351628099029681;247010601697960;218578;1.75;2.3;"Mapon Expert";;900773R/40R02;"Coche ";"15.03.2024 13:23";"Orange Espagne S.A.U->Spain";Activa;"JOSE FELIX ALONSO VERGEL";OK;-
218582;Coche;"MAN TGX 18.540";"0747LFR Manolo Rodriguez";+37127877078;351628099028634;247010601697959;218582;1.75;2.3;"Mapon Expert";;900588RA25R03;"Coche ";"19.09.2020 11:39";"Orange Espagne S.A.U->Spain";Activa;"JOSE FELIX ALONSO VERGEL";OK;-
