﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
216717;Coche;"IVECO TRAKKER";8323LPM;+37125771363;351628097946654;247010602034526;216717;1.70;2.3;"Mapon Expert";;1381.1552113004;"Coche ";"30.08.2021 12:34";"Vodafone Spain->Spain";Activa;RIPOTRANS;OK;-
27929968;Coche;"SKODA SPACEBACK";4317HTL;+37125702689;352094087341936;8937101121901345170;1000285120;03.25.05;;TELTONIKA;FMB920;;"Coche ";"11.08.2021 16:25";;Activa;RIPOTRANS;OK;"6min "
28014151;Coche;"DAF CF";0698LFP;+467191205545579;359633109556360;;1107713068;03.25.15;;TELTONIKA;FMB920;;"Coche ";"14.08.2021 08:46";"Vodafone Spain->Spain";Activa;RIPOTRANS;OK;"7min "
28024518;Coche;"RENAULT KANGOO";8351JDJ;+37128642351;354017114892371;;1109071939;03.25.15;;TELTONIKA;FMB120;;"Coche ";"04.01.2023 09:53";"Vodafone Spain->Spain";Activa;"ADMIRAL GESTIÓN SL";OK;-
28035974;Coche;"FIAT DUCATO";0138LRP;+37126544471;354017114917079;;1110210142;03.25.15;;TELTONIKA;FMB122;;"Coche ";"27.09.2021 16:51";"Telefónica Móviles España->Spain";Activa;"RABBIT RAPID SL";OK;"5min "
28042909;Coche;"OPEL CORSA";COMERCIAL;+37128011447;863286024048002;8937101121901345352;;;;QUECLINK;GV65N;;"Coche ";"05.02.2021 12:23";;Activa;"JOSEP MAS DEMO PRO";OK;-
28043894;Coche;"MAN TGX";5859LKX;+37126480161;354018112949015;;1111500892;03.25.15;;TELTONIKA;FMB920;;"Coche ";"14.08.2021 08:00";"Orange Espagne S.A.U->Spain";Activa;RIPOTRANS;OK;"3min "
28044557;Coche;"COMPACTADORA BERGMANN";A1;+37129490731;354018111835520;;1111421438;03.25.15;;TELTONIKA;FMB204;;"Coche ";"11.10.2022 13:12";"Telefónica Móviles España->Spain";Activa;RECUMAS;OK;"1min "
28044562;Coche;"COMPACTADORA BERGMANN";A2;+37122046832;354018111921650;;1111421321;03.25.15;;TELTONIKA;FMB204;;"Coche ";"11.10.2022 12:39";"Orange Espagne S.A.U->Spain";Activa;RECUMAS;OK;-
28044566;Coche;"COMPACTADORA PALVI";A3;+37126491681;354018111858498;;1111420893;03.25.15;;TELTONIKA;FMB204;;"Coche ";"11.10.2022 15:39";"Orange Espagne S.A.U->Spain";Activa;RECUMAS;OK;-
28044940;Coche;LLEIDA;LLEIDA;;;00000000000;28044940;3.8;;SMARTCARD;A10;;"Coche ";"31.08.2022 18:00";;;"JOSEP MAS DEMO PRO";OK;-
28047606;Coche;"dacia sandero";0511LVB;+37126358330;354018115387833;;1111988203;03.25.15;;TELTONIKA;FMB920;;"Coche ";"09.12.2021 11:55";"Orange Espagne S.A.U->Spain";Inactivo;ABOLAFIO;NODATA;"734d 23h 36min "
28053404;Coche;PEUGEOT;8064DSH;+37126680005;354018118787260;;1112677954;03.25.18;;TELTONIKA;FMB204;;"Coche ";"03.12.2021 09:42";"Telefónica Móviles España->Spain";Activa;"TRANSPORTES VALODEF";OK;"17min "
28054303;Coche;Tacho;Server;;;00000000000;28054303;3.11;;SMARTCARD;A10;;"Coche ";"07.07.2021 09:52";;;"JOSEP MAS DEMO PRO";OK;-
28057935;Coche;"IVECO STRALIS";9018JRP;+37127328190;352625694808922;;1113120457;01.00.05;;TELTONIKA;FMB640;1381.1216103004;"Coche ";"30.06.2021 15:16";"Orange Espagne S.A.U->Spain";Activa;HERPUTRANS;OK;"1min "
28057936;Coche;"IVECO STRALIS";2530KCM;+37125703712;352625694833953;;1113120655;01.00.13;;TELTONIKA;FMB640;1381.4216101001;"Coche ";"30.06.2021 09:14";"Orange Espagne S.A.U->Spain";Activa;HERPUTRANS;OK;-
28057937;Coche;"IVECO WHY";8962LPZ;+37125737993;352625694808781;;1113120677;01.00.05;;TELTONIKA;FMB640;1381.1552113003;"Coche ";"02.07.2021 17:07";"Orange Espagne S.A.U->Spain";Activa;RIPOTRANS;OK;"1min "
28057938;Coche;IVECO;4391LFR;+37128790968;352625694822485;;1113120739;01.00.05;;TELTONIKA;FMB640;1381.1522113002;"Coche ";"20.07.2021 10:42";"Telefónica Móviles España->Spain";Activa;RIPOTRANS;OK;"2min "
28057939;Coche;"MAN TGX";6333JFP;+37128325764;354018119864167;;1113118690;01.00.13;;TELTONIKA;FMB640;900208R7.6/04R06;"Coche ";"30.06.2021 12:29";"Telefónica Móviles España->Spain";Activa;HERPUTRANS;OK;-
28057940;Coche;"IVECO 360 XWAY";4517LGX;+37126617917;352625694834241;;1113120637;01.00.05;;TELTONIKA;FMB640;1381.1552113003;"Coche ";"19.07.2021 11:46";"Vodafone Spain->Spain";Activa;RIPOTRANS;OK;"1min "
28057941;Coche;"RENAULT KERAX";1952KDN;+37125619676;352625694834209;;1113120656;01.00.05;;TELTONIKA;FMB640;1381.1090200002;"Coche ";"19.07.2021 12:32";"Orange Espagne S.A.U->Spain";Activa;RIPOTRANS;OK;-
