﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
218427;Coche;IVECO;1516LNT;+467191203571478;351628099030861;240075811756845;218427;1.75;2.3;"Mapon Expert";;1381.1216103003;"Coche ";"27.04.2022 12:54";"Vodafone Spain->Spain";Activa;"ELIOTRANS 2011, S.L.";OK;"1min "
218431;Coche;"Renault Magnum";6001GVF;+467191203571510;351628098964391;240075811756877;218431;1.69;2.3;"Mapon Expert";;;"Coche ";"25.11.2019 11:05";"Orange Espagne S.A.U->Spain";Activa;"IVAYLO YASENOV AVRAMOV";"NODATA (NOGPS)";"1468d 4h 23min "
218440;Coche;MAN;1696KFD;+37120227961;351628098973392;247010601697999;218440;1.71;2.3;"Mapon Expert";;900208R7.6/04R06;"Coche ";"15.01.2020 17:02";"Orange Espagne S.A.U->Spain";Activa;"ELIOTRANS 2011, S.L.";NODATA;"109d 22h 37min "
218443;Coche;IVECO;5394KST;+37125409037;351628099025010;247010601697997;218443;1.69;2.3;"Mapon Expert";;;"Coche ";"17.02.2020 16:24";"Vodafone Spain->Spain";Activa;"SILVIA ALEJANDRA MACEDA LERMETT";"NODATA (NOPOWER)";"1315d 6h 25min "
218511;Coche;MAN;4722JWS;+37128638947;351628098944534;247010601697957;218511;1.75;2.3;"Mapon Expert";;1381.2055003002;"Coche ";"28.07.2022 12:01";"Orange Espagne S.A.U->Spain";Activa;"ELIOTRANS 2011, S.L.";OK;-
218521;Coche;MAN;6042KDN;+37126119238;351628099030895;247010601697986;218521;1.71;2.3;"Mapon Expert";;900208R7.6/04R06;"Coche ";"15.01.2020 16:58";"Orange Espagne S.A.U->Spain";Activa;"ELIOTRANS 2011, S.L.";NODATA;"147d 4h 47min "
218524;Coche;MAN;7125KGB;+37129377382;351628098862553;247010601697988;218524;1.75;2.3;"Mapon Expert";;1381.2055003002;"Coche ";"28.07.2022 16:59";Altice->France;Activa;"ELIOTRANS 2011, S.L.";OK;-
218531;Coche;IVECO;8990JSR;+37128683725;351628098876363;247010601697990;218531;1.75;2.3;"Mapon Expert";;1381.1216103004;"Coche ";"24.04.2020 13:33";"Bouygues Telecom->France";Activa;"ELIOTRANS 2011, S.L.";OK;-
218563;Coche;IVECO;7366KFD;+37126665375;351628099028949;247010601697962;218563;1.75;2.3;"Mapon Expert";;1381.1216103003;"Coche ";"15.01.2020 16:59";Altice->France;Activa;"ELIOTRANS 2011, S.L.";OK;-
218571;Coche;IVECO;4706KGX;+37125427115;351628099027529;247010601697950;218571;1.75;2.3;"Mapon Expert";;1381.1216103003;"Coche ";"01.08.2022 11:22";"Orange S.A.->France";Activa;"ELIOTRANS 2011, S.L.";OK;-
218573;Coche;IVECO;8708JJY;+37128390205;351628099028733;247010601697953;218573;1.69;2.3;"Mapon Expert";;;"Coche ";"17.02.2020 16:25";"Orange Espagne S.A.U->Spain";Activa;"SILVIA ALEJANDRA MACEDA LERMETT";"NODATA (NOPOWER)";"1314d 21h 57min "
218607;Coche;MAN;3867JBC;+37125424115;351628099029210;247010601697975;218607;1.75;2.3;"Mapon Expert";;;"Coche ";"15.07.2020 18:36";"Orange Espagne S.A.U->Spain";Activa;"AERO-FERR NORTE, SA";NODATA;"1d 2h 56min "
220522;Coche;MAN;4721KPW;+37126164339;862261047433490;247010602034635;220522;1.75;2.4;"Mapon Expert";;1381.1511003002;"Coche ";"02.11.2020 10:47";"Orange S.A.->France";Activa;"ELIOTRANS 2011, S.L.";OK;-
27959686;Coche;MERCEDES;5879HXW;+467191202226771;352093085118445;;1101471081;00.03.65;;TELTONIKA;FMB640;;"Coche ";"01.06.2020 08:53";;Inactivo;"HERCORGA TRANSPORTE SL";"NODATA (SHIP)";"701d 8h 11min "
27960994;Coche;;"LINEA 1";+37126120324;352093088601025;;1101380468;03.18.20;;TELTONIKA;FMB920;;"Coche ";"15.02.2021 18:57";;Activa;"AUTOCARES DE MOLINA";"NODATA (NOPOWER)";"1134d 8h 41min "
27961020;Coche;TEST;TEST;+37125471381;352093088575674;;1101379782;03.18.20;;TELTONIKA;FMB920;;"Coche ";"25.08.2020 12:08";;Activa;"LOS GEMELOS 2001 SL";"NODATA (NOPOWER)";"1403d 23h 35min "
27961041;Coche;"Vehículo ";Prueba;+37127314733;352093087922216;;1101361022;03.18.20;;TELTONIKA;FMB920;;"Coche ";"11.06.2019 10:03";;Activa;"FRIO GUERRERO";"NODATA (NOPOWER)";"1904d 9h 11min "
27966163;Coche;"TEST DISP.";AUT001;+37125449683;;;07726384;5.21;;Level;"GC 092 242";;"Coche ";"02.08.2023 09:21";;Activa;"AUDIO VISUALES RENT APC AUDIO SL";NODATA;"1716d 17h 6min "
27969680;Coche;"FIAT DUCATO";2424JXV;+37120234502;358480081763643;;1102283762;03.18.21;;TELTONIKA;FMB120;;"Coche ";"19.02.2020 13:35";;Activa;"MOBEL YECLA S.L.";OK;"3min "
27969682;Coche;"Iveco Daily";"Iveco Fernando";+37127328373;358480081763833;;1102283768;03.18.21;;TELTONIKA;FMB120;;"Coche ";"22.08.2019 18:04";;Activa;"GRUPO PAPILIO SL";OK;"4min "
27971954;Coche;"SEAT LEÓN (Comodín)";"RAUL FMB920";+37125486848;352093089319197;;1102644761;03.25.05;;TELTONIKA;FMB920;;"Coche ";"04.09.2019 13:50";;Activa;"VRIO MOBILITY SLU";"NODATA (NOPOWER)";"300d 20h 31min "
27972067;Coche;"SEAT LEÓN (Jesús)";2337KPY;+37125476930;358480083933855;;1102637046;03.25.05;;TELTONIKA;FMB920;;"Coche ";"04.09.2019 13:48";;Activa;"VRIO MOBILITY SLU";NODATA;"300d 21h 52min "
27972071;Coche;"AUDI A4";1975JZY;+37126620665;358480083397176;;1102626321;03.25.05;;TELTONIKA;FMB920;;"Coche ";"04.09.2019 13:41";;Inactivo;"VRIO MOBILITY SLU";NODATA;"700d 7h 30min "
27976392;Coche;;2138JNH;+467191202226872;358480088457686;;1103156719;03.25.05;;TELTONIKA;FMB920;;"Coche ";"14.11.2023 09:14";;Activa;"MOLDOTRANS & ZAICAR TRANSPORTES Y REPARACIONES EXPRESS SL";OK;"6min "
