﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28026001;Coche;CITROEN;1223KZT;+37129264760;354017116231396;;1109297660;03.25.15;;TELTONIKA;FMB920;;"Coche ";"28.04.2021 13:43";;Activa;"LACHER Y CAMAZON MENSAJ. Y DISTRIBUCION SL";NODATA;"1378d 3h 14min "
28028321;Coche;RENAULT;7389KKB;+37126679913;354017112611773;;1109362059;01.00.13;;TELTONIKA;FMB640;1381.1212303002;"Coche ";"24.05.2021 15:54";"Telefónica Móviles España->Spain";Activa;"O.T TRANSGALAN SL";OK;-
28028373;Coche;RENAULT;9046LBB;+37129356539;354017112613092;;1109362085;01.00.13;;TELTONIKA;FMB640;1381.1212309007;"Coche ";"24.05.2021 16:08";"Telefónica Móviles España->Spain";Activa;"O.T TRANSGALAN SL";"NODATA (NOPOWER)";"3h 25min "
28030257;Coche;RENAULT;3993DNP;+37127326494;354017114573997;;1109901401;03.25.16;;TELTONIKA;FMB140;;"Coche ";"24.05.2021 15:53";"Orange Espagne S.A.U->Spain";Activa;"O.T TRANSGALAN SL";OK;-
28032995;Coche;SCANIA;2757JDS;+37127338960;354017119250807;;1110078172;01.00.13;;TELTONIKA;FMB640;900208R7.4/05R04;"Coche ";"24.05.2021 15:58";"Orange Espagne S.A.U->Spain";Activa;"O.T TRANSGALAN SL";OK;"7min "
28033191;Coche;RENAULT;"3145 JXS";+37126693480;354017116307238;;1110093214;01.00.13;;TELTONIKA;FMB640;1381.1212303002;"Coche ";"01.06.2023 19:11";"Orange Espagne S.A.U->Spain";Activa;"O.T TRANSGALAN SL";OK;"5min "
28039474;Coche;RENAULT;6250JTV;+37128314699;354018111713156;;1110874523;01.00.13;;TELTONIKA;FMB640;1381.1212303002;"Coche ";"24.05.2021 15:56";"Telefónica Móviles España->Spain";Activa;"O.T TRANSGALAN SL";OK;"5min "
28039477;Coche;RENAULT;1624LKS;+37129366753;354018111610352;;1110867838;01.00.13;;TELTONIKA;FMB640;1381.1212309007;"Coche ";"24.05.2021 15:59";"Orange Espagne S.A.U->Spain";Activa;"O.T TRANSGALAN SL";OK;"4min "
28039497;Coche;SCANIA;2821JTR;+37129362555;354017116318581;;1110082630;01.00.13;;TELTONIKA;FMB640;900208R7.6/05R02;"Coche ";"24.05.2021 15:57";"Telefónica Móviles España->Spain";Activa;"O.T TRANSGALAN SL";NODATA;"134d 8h 5min "
28039567;Coche;RENAULT;7278JZY;+37126623939;354018110755893;;1110866120;01.00.13;;TELTONIKA;FMB640;;"Coche ";"24.05.2021 15:55";"Orange Espagne S.A.U->Spain";Activa;"O.T TRANSGALAN SL";OK;-
28039585;Coche;RENAULT;9067LBB;+37120201429;354018111576165;;1110857939;01.00.13;;TELTONIKA;FMB640;1381.1212309007;"Coche ";"24.05.2021 16:01";"Telefónica Móviles España->Spain";Activa;"O.T TRANSGALAN SL";NODATA;"15h 49min "
28039694;Coche;SCANIA;9688JTF;+37128782255;354018111782987;;1110869574;01.00.05;;TELTONIKA;FMB640;900208R7.6/05R01;"Coche ";"16.09.2021 17:07";"Orange S.A.->Belgium";Activa;"O.T TRANSGALAN SL";"OK (NOPOWER)";"2min "
