﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28022592;Coche;SC20S;"DOBLAJE PRUEBA OVIEDO";+37129105889;860599005302856;;;;;QUECLINK;GL300A;;"Coche ";"10.03.2021 09:54";;Activa;ZELERIS;NODATA;"48min "
28026441;Coche;Portable;Portable-6;+345901010212977;015181003566669;;WP00410N5001693;;;QUECLINK;GL300MG;;"Coche ";"12.11.2021 14:13";;Desconocido;YODEYMA;"NODATA (NOPOWER)";"783d 20h 41min "
28026448;Coche;Portable;Portable-2;+345901010265162;015181003566719;;WP00410N5001698;;;QUECLINK;GL300MG;;"Coche ";"12.11.2021 13:33";;Desconocido;YODEYMA;"NODATA (NOPOWER)";"81d 2h 56min "
28026489;Coche;Portable;Dip.Burgos-1;+345901010268954;015181003567659;;WP00410N5001792;;;QUECLINK;GL300MG;;"Coche ";"18.11.2021 14:01";;Desconocido;"Diputación de Burgos";"NODATA (NOPOWER)";"969d 8h 37min "
28026491;Coche;Portable;Dip.Burgos-2;+345901010237609;015181003553378;;;;;QUECLINK;GL300MG;;"Coche ";"18.11.2021 14:08";;Desconocido;"Diputación de Burgos";"NODATA (NOPOWER)";"954d 17h 8min "
28026496;Coche;Portable;Portable-4;+345901010230808;015181003551190;;WP00410N5000146;;;QUECLINK;GL300MG;;"Coche ";"12.11.2021 13:57";;Desconocido;YODEYMA;"NODATA (NOPOWER)";"783d 20h 43min "
28026499;Coche;Auto;Portatil_3_Santander;+345901010854687;015181003557809;;;;;QUECLINK;GL300MG;;"Coche ";"22.08.2022 15:16";;Desconocido;MOBILE;"OK (NOPOWER)";"2min "
28026507;Coche;MOVIL_1;MOVIL_1;+345901000861192;015181003556447;;;;;QUECLINK;GL300MG;;"Coche ";"20.04.2023 12:51";;Desconocido;MOBILE;"NODATA (NOPOWER)";"448d 9h 49min "
28026520;Coche;Portable;Portable-1;+345901010283116;015181003561439;;WP00410N5001170;;;QUECLINK;GL300MG;;"Coche ";"11.11.2021 18:10";;Activa;YODEYMA;"NODATA (NOPOWER)";"497d 3h 53min "
28026530;Coche;Portable;Portable-3;+345901010192528;015181003550317;;WP00410N5000058;;;QUECLINK;GL300MG;;"Coche ";"12.11.2021 13:47";;Desconocido;YODEYMA;"NODATA (NOPOWER)";"677d 11h 4min "
28026531;Coche;Portable;Portable-5;+345901010269082;015181003550408;;WP00410N5000067;;;QUECLINK;GL300MG;;"Coche ";"12.11.2021 14:05";;Desconocido;YODEYMA;"NODATA (NOPOWER)";"40d 18h 55min "
28027094;Coche;BIKE;"BIKE 01";+345901000276794;860599004509816;214074306447560;860599004509816;;;QUECLINK;GL300A;;"Coche ";"10.11.2020 12:27";;Activa;SECURITAS;"NODATA (NOPOWER)";"1047d 1h 49min "
28028697;Coche;BUGGIE;-1;+345901000732492;869606020868844;;;;;QUECLINK;GV65PLUS;;"Coche ";"11.11.2020 09:03";;Activa;SECURITAS;NODATA;"1358d 1h 2min "
28028744;Coche;BUGGIE;-;+345901000746567;869606020861351;;869606020861351;;;QUECLINK;GV65PLUS;;"Coche ";"11.11.2020 08:29";;Activa;SECURITAS;NODATA;"589d 12h 42min "
28037517;Coche;SC10;"Z25  MADRID-ZGZ DAMIAN";+345901010283979;860599004265732;;;;;QUECLINK;GL300A;;"Coche ";"17.12.2021 09:25";;Desconocido;ZELERIS;"OK (NOPOWER)";"3min "
28044457;Coche;CEDISA;"R6327BDJ (UMM3)";+345901008964067;354018111860247;;1111421317;03.25.15;;TELTONIKA;FMB204;;"Coche ";"15.03.2022 13:06";"Telefónica Móviles España->Spain";Activa;"CENTRO DE DIAGNOSTICO, S.A.U";"NODATA (NOPOWER)";"6h 53min "
28044458;Coche;CEDISA;"R6767BDJ (UMM7)";;354018113306694;;1111423764;03.25.15;;TELTONIKA;FMB204;;"Coche ";"15.03.2022 12:37";"Telefónica Móviles España->Spain";;"CENTRO DE DIAGNOSTICO, S.A.U";"NODATA (NOPOWER)";"6h 36min "
28044460;Coche;CEDISA;"R6765BDJ (UMM5)";+345901009059557;354018111844365;;1111423370;03.25.15;;TELTONIKA;FMB204;;"Coche ";"16.03.2022 09:04";"Telefónica Móviles España->Spain";Activa;"CENTRO DE DIAGNOSTICO, S.A.U";"NODATA (NOPOWER)";"5d 9h 53min "
28044462;Coche;CEDISA;"R6766BDJ (UMM6)";;354018113321974;;1111425682;03.25.15;;TELTONIKA;FMB204;;"Coche ";"15.03.2022 13:14";"Telefónica Móviles España->Spain";;"CENTRO DE DIAGNOSTICO, S.A.U";"NODATA (NOPOWER)";"4h 29min "
28044465;Coche;CEDISA;"R6328BDJ (UMM4)";+345901009740807;354018111868919;;1111420736;03.25.15;;TELTONIKA;FMB204;;"Coche ";"15.03.2022 12:50";"Telefónica Móviles España->Spain";Activa;"CENTRO DE DIAGNOSTICO, S.A.U";"NODATA (NOPOWER)";"21h 29min "
28044468;Coche;CEDISA;"R6176BDJ (UMM2)";+345901010670021;354018111921734;;1111421314;03.25.15;;TELTONIKA;FMB204;;"Coche ";"15.03.2022 12:57";"Telefónica Móviles España->Spain";Activa;"CENTRO DE DIAGNOSTICO, S.A.U";"NODATA (NOPOWER)";"18d 20h 19min "
28044472;Coche;CEDISA;"R6326BDJ (UMM1)";+345901009547179;354018111921643;;1111421334;03.25.15;;TELTONIKA;FMB204;;"Coche ";"15.03.2022 11:59";"Telefónica Móviles España->Spain";Activa;"CENTRO DE DIAGNOSTICO, S.A.U";"NODATA (NOPOWER)";"6d 59min "
28046625;Coche;"Renault Clio";7007LGL;+37126607458;354018114243961;;1111688686;03.25.17;;TELTONIKA;FMB003;;"Coche ";"27.05.2021 10:25";"Orange Espagne S.A.U->Spain";Activa;"Javier DEMO";NODATA;"4h 34min "
28046640;Coche;NISSAN;7612GSN;+37120281349;354018114952546;;1111710970;03.25.17;;TELTONIKA;FMB003;;"Coche ";"14.06.2021 15:01";"Orange Espagne S.A.U->Spain";Activa;"Rafael SA";NODATA;"76d 21h 15min "
28055257;Coche;"Toyota Yaris";9550LDS;+5901010227617;865677040583162;;;;;QUECLINK;GV300;;"Coche ";"06.04.2021 11:08";;Desconocido;"Securitas Alicante";OK;-
28055565;Coche;"Unvi Timounvi49_03";8169HTT;+345901010238913;869606020875633;;;;;QUECLINK;GV65;;"Coche ";"09.04.2021 11:39";;Activa;ABANCA;OK;"33min "
28056869;Coche;"Mercedes 816d";0183FZG;+345901010262446;869606020873836;;;;;QUECLINK;GV65;;"Coche ";"09.04.2021 12:44";;Activa;ABANCA;"NODATA (NOGPS)";"2h 49min "
28058774;Coche;;Javier;;;;;;;"Phone Tracking App";;;"Coche ";"20.04.2021 10:02";;;"Javier DEMO";NODATA;"1106d 4h 44min "
28059787;Coche;SC20;"Z18 (DEP DEGURIDAD)";+345901010267513;860599005449152;;;;;QUECLINK;GL300A;;"Coche ";"07.09.2021 08:26";;Desconocido;ZELERIS;"OK (NOPOWER)";-
28059789;Coche;SC20;"Z22  SUSTITUCIONES MADRID-MÉRIDA";+345901008163693;860599005451851;;;;;QUECLINK;GL300A;;"Coche ";"01.02.2022 13:47";;Activa;ZELERIS;"NODATA (NOPOWER)";"15h 23min "
28059790;Coche;SC20;"Z3 SUSTITUCIONES MADRID  PEDRO GOLAJAZI";+345901010207270;860599005455365;;;;;QUECLINK;GL300A;;"Coche ";"06.09.2021 11:56";;Desconocido;ZELERIS;"OK (NOPOWER)";-
28059793;Coche;SC20;"Z14 SUST MAD (ZTOR) GESTSERVI";+345901010252883;860599005449210;;;;;QUECLINK;GL300A;;"Coche ";"06.09.2021 13:13";;Desconocido;ZELERIS;OK;-
28059798;Coche;SC20;"Z4 SUSTITUCIONES MURCIA";+345901010302541;860599005448535;;;;;QUECLINK;GL300A;;"Coche ";"06.09.2021 12:09";;Desconocido;ZELERIS;OK;"3min "
28059799;Coche;SC20;"Z5 APOYOS SEV-CDZ";+5901010267050;860599005455704;;;;;QUECLINK;GL300A;;"Coche ";"06.09.2021 12:30";;Desconocido;ZELERIS;"OK (NOPOWER)";-
28059800;Coche;SC10;"Z105 DOBLAJES MADRID-OVIEDO";+345901008448129;860599005453360;;;;;QUECLINK;GL300A;;"Coche ";"25.04.2022 10:13";;Desconocido;ZELERIS;OK;-
28059801;Coche;SC20;"Z1 SUSTITUCIONES MADRID-VALENCIA HUERTA";+345901010276243;860599005449558;;;A05V2A;;QUECLINK;GL300A;;"Coche ";"06.09.2021 09:00";;Inactivo;ZELERIS;"OK (NOPOWER)";-
28059802;Coche;SC20;"Z2 SUSTITUCIONES MADRID RONAL TRANSKOKISUR";+345901010243175;860599005455332;;;;;QUECLINK;GL300A;;"Coche ";"06.09.2021 11:44";;Desconocido;ZELERIS;"OK (NOPOWER)";-
28059807;Coche;SC10;"Z60 SUSTITUCION Almería";+5901000855369;860599005453592;;;;;QUECLINK;GL300A;;"Coche ";"05.10.2021 11:53";;Desconocido;ZELERIS;"OK (NOPOWER)";"2min "
28059808;Coche;SC10;"Z54 DOBLAJES MADRID-VLC ISAIAS";+345901009089270;860599005449897;;;A04V15;;QUECLINK;GL300A;;"Coche ";"04.10.2021 11:40";;Desconocido;ZELERIS;"OK (NOPOWER)";"1min "
28059809;Coche;SC10;"Z102 DOBLAJES MAD-PALENCIA";+5901005948196;860599005448832;;;;;QUECLINK;GL300A;;"Coche ";"04.10.2021 11:37";;Desconocido;ZELERIS;OK;"1min "
28059810;Coche;SC10;"Z97 DOBLAJES MAD (ZTOR) peq en Torrejón";+345901018955291;860599005449988;;860599005449988;;;QUECLINK;GL300A;;"Coche ";"04.10.2021 11:42";;Activa;ZELERIS;NODATA;"4d 15h 37min "
28059811;Coche;SC20;"Z12 R. MADRID (ZTOR) Nabil";+5901009119718;860599005453170;;;;;QUECLINK;GL300A;;"Coche ";"06.09.2021 12:58";;Desconocido;ZELERIS;"OK (NOPOWER)";"1min "
28059812;Coche;SC10;"Z63 DOBLAJES MAD CARROZADO GOLAJAZI";+345901009255217;860599005457247;;;;;QUECLINK;GL300A;;"Coche ";"28.10.2021 20:49";;Desconocido;ZELERIS;"OK (NOPOWER)";"1min "
28059813;Coche;SC20;"Z67 DOBLAJE VIGO";+345901009089910;860599005452263;;;;;QUECLINK;GL300A;;"Coche ";"22.11.2023 17:23";;Desconocido;ZELERIS;"OK (NOPOWER)";-
28059814;Coche;SC20;"Z10 (ZTOR) TRAILER LUGO";+345901008977668;860599005449434;;;;;QUECLINK;GL300A;;"Coche ";"22.11.2023 17:20";;Desconocido;ZELERIS;"OK (NOPOWER)";-
28059815;Coche;SC20;"Z94 (ZTOR) CORUÑA";+345901009658871;860599005456579;;;;;QUECLINK;GL300A;;"Coche ";"22.11.2023 17:25";;Desconocido;ZELERIS;"OK (NOPOWER)";"1min "
28059816;Coche;SC10;"Z59 DOBLAJES MAD PAMPLONA";+5901005865286;860599005457254;;;;;QUECLINK;GL300A;;"Coche ";"28.10.2021 20:44";;Desconocido;ZELERIS;"OK (NOPOWER)";"2min "
28059817;Coche;Desconocido;"Z90 SECU";+345901008698011;860599005449590;;;;;QUECLINK;GL300A;;"Coche ";"22.11.2023 17:08";;Desconocido;ZELERIS;"OK (NOPOWER)";"1min "
28059818;Coche;SC10;"Z28 DOBLAJES  LENTA MURCIA";+345901000552923;860599005448949;;;;;QUECLINK;GL300A;;"Coche ";"19.11.2021 11:50";;Desconocido;ZELERIS;"OK (NOPOWER)";-
28059819;Coche;SC10;"Z61 SUSTITUCION CORUÑA";+5901005870659;860599005457858;;;;;QUECLINK;GL300A;;"Coche ";"28.10.2021 20:46";;Desconocido;ZELERIS;"OK (NOPOWER)";-
28059820;Coche;SC10;"Z44 SUSTITUCION (ZTOR)";+5901000888920;860599005452248;;;;;QUECLINK;GL300A;;"Coche ";"04.10.2021 11:37";;Desconocido;ZELERIS;"OK (NOPOWER)";"1min "
28059821;Coche;SC20;"Z6 SUSTITUCIONES MADRID ALMERÍA";+5901000224882;860599005455225;;;;;QUECLINK;GL300A;;"Coche ";"06.09.2021 12:45";;Desconocido;ZELERIS;"OK (NOPOWER)";-
