﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28110038;Coche;"DAF XF";0436MDH;+467191022667194;350424060283965;;1121250131;01.02.27;;TELTONIKA;FMB640;900588RH30R01;"Coche ";"11.01.2023 10:17";"Orange S.A.->France";Activa;FICALTRANS;OK;-
28110229;Coche;"MAN TGX";8801MGM;+37126630619;350424060297916;;1121231772;01.00.13;;TELTONIKA;FMB640;900588RH40R01;"Coche ";"05.07.2022 09:39";"Orange Espagne S.A.U->Spain";Activa;FICALTRANS;OK;-
28116050;Coche;"MAN TGX";7452KSB;+37125563276;860264053377066;;1121941151;01.00.13;;TELTONIKA;FMC640;1381.1621003002;"Coche ";"30.09.2022 09:42";"Orange Espagne S.A.U->Spain";Activa;FICALTRANS;OK;-
28116054;Coche;"MAN TGX";5738KRN;+37128729490;860264053972981;;1121947143;01.00.13;;TELTONIKA;FMC640;1381.1511003002;"Coche ";"30.09.2022 10:09";"Orange Espagne S.A.U->Spain";Activa;FICALTRANS;OK;-
28116198;Coche;"MAN TGX";5577MCJ;+37128714495;860264055605589;;1121214822;01.00.13;;TELTONIKA;FMC640;900588RG40R01;"Coche ";"25.11.2022 13:04";"Telefónica Móviles España->Spain";Activa;FICALTRANS;OK;-
28121067;Coche;"DAF XF";5263MCK;+37128687619;860264055558226;;1122858685;01.00.13;;TELTONIKA;FMC640;900588RH30R01;"Coche ";"24.11.2022 18:10";"Bouygues Telecom->France";Activa;FICALTRANS;OK;"5min "
28121112;Coche;"MAN TGX18-510";8963MDR;+37127816742;860264055469507;;1122860791;01.00.13;;TELTONIKA;FMC640;900588RH40R01;"Coche ";"02.02.2023 10:55";"Orange Espagne S.A.U->Spain";Activa;FICALTRANS;OK;"6min "
28167025;Coche;"VOLVO FL 280";0092JZG;+371300000021018;860264051970482;247012500144258;1127592117;;;TELTONIKA;FMC640;1381.1012303002;"Coche ";"12.01.2023 17:53";"Telefónica Móviles España->Spain";Activa;"TRANS RIUS 2015 SL";OK;"4min "
28167231;Coche;"DAF LF";8884LZS;+371300000021187;860264052000685;247012500144427;1127588962;;;TELTONIKA;FMC640;1381.1055303001;"Coche ";"27.01.2023 12:11";"Orange Espagne S.A.U->Spain";Activa;TRAWI;OK;"3min "
28167233;Coche;"DAF XF";0435MDH;+371300000022449;860264051970128;247012500145689;1127592204;01.02.22;;TELTONIKA;FMC640;900588RH30R01;"Coche ";"12.01.2023 10:28";"Telefónica Móviles España->Spain";Activa;FICALTRANS;OK;-
28167245;Coche;"VOLVO FL";3395MCC;+371300000022436;866728061362033;247012500145676;1127591608;;;TELTONIKA;FMC640;1381.1552313015;"Coche ";"01.02.2023 11:19";"Vodafone Spain->Spain";Activa;TRAWI;OK;-
28167258;Coche;"VOLVO FL 280";2074LSK;+371300000022422;866728061362116;247012500145662;1127591615;;;TELTONIKA;FMC640;1381.1552313003;"Coche ";"12.01.2023 17:15";"Orange Espagne S.A.U->Spain";Activa;"TRANS RIUS 2015 SL";OK;-
28167307;Coche;"VOLVO FL 280";3653MBT;+371300000022357;860264051964790;247012500145597;1127592687;;;TELTONIKA;FMC640;1381.1012303002;"Coche ";"12.01.2023 19:24";"Telefónica Móviles España->Spain";Activa;"TRANS RIUS 2015 SL";OK;"1min "
28167312;Coche;"RENAULT MIDLUM";5017HJD;+371300000022374;866728061404561;247012500145614;1127576942;;;TELTONIKA;FMC640;1381.1052300021;"Coche ";"12.01.2023 18:27";"Vodafone Spain->Spain";Activa;"TRANS RIUS 2015 SL";OK;"6min "
28167361;Coche;"VOLVO FL 280";0094JZG;+371300000022431;860264051964840;247012500145671;1127592689;;;TELTONIKA;FMC640;1381.1012303002;"Coche ";"12.01.2023 19:03";"Telefónica Móviles España->Spain";Activa;"TRANS RIUS 2015 SL";OK;-
28167372;Coche;"DAF XF";0432MDH;+371300000021010;860264052046506;247012500144250;1127579218;01.02.22;;TELTONIKA;FMC640;900588RH30R01;"Coche ";"12.01.2023 11:12";"Orange S.A.->France";Activa;FICALTRANS;OK;-
28167395;Coche;"RENAULT ";1996LZH;+371300000022482;860264052029908;247012500145722;1127579643;;;TELTONIKA;FMC640;1381.1052309010;"Coche ";"25.01.2023 15:44";"Telefónica Móviles España->Spain";Activa;TRAWI;OK;-
28167403;Coche;"VOLVO FL";6686LWR;+371300000022464;860264052029783;247012500145704;1127579666;;;TELTONIKA;FMC640;1381.1012309003;"Coche ";"25.01.2023 15:04";"Telefónica Móviles España->Spain";Activa;TRAWI;OK;"1min "
28167480;Coche;"VOLVO FE 320";4078LLL;+371300000021013;860264051970490;247012500144253;1127592611;;;TELTONIKA;FMC640;1381.1552313003;"Coche ";"12.01.2023 16:46";"Telefónica Móviles España->Spain";Activa;"TRANS RIUS 2015 SL";OK;-
28167481;Coche;"SCANIA P280";8968JNH;+371300000022389;860264052007888;247012500145629;1127591656;;;TELTONIKA;FMC640;900208R7.6/26R12;"Coche ";"12.01.2023 16:02";"Telefónica Móviles España->Spain";Activa;"TRANS RIUS 2015 SL";OK;-
28167482;Coche;"VOLVO FL 290";5404JSM;+371300000021015;860264051970169;247012500144255;1127592612;;;TELTONIKA;FMC640;1381.7550303008;"Coche ";"12.01.2023 15:30";"Telefónica Móviles España->Spain";Activa;"TRANS RIUS 2015 SL";OK;-
28180014;Coche;"DAF XD";5054MDP;+371300000020981;860264059467358;;1128780213;;;TELTONIKA;FMC640;900588RD30R03;"Coche ";"29.05.2023 11:51";"Telefónica Móviles España->Spain";Activa;"AGROTURISME CAL MODEST SLU";OK;"2min "
28181319;Coche;"SMARTCARD READER";"SMARTCARD READER";;;00000000000;28181319;3.8;;SMARTCARD;A10;;"Coche ";"19.12.2022 11:02";;;"SITA SERVEIS DEMO";OK;-
28194444;Coche;"MAN TGX-18.510";3889MFZ;+371300000054033;860264059566712;;1129820226;01.02.22;;TELTONIKA;FMC640;900588RH40R01;"Coche ";"14.04.2023 09:26";"MEO - Serviços de Comunicações e Multimédia, S.A.->Portugal";Activa;FICALTRANS;OK;-
28200726;Coche;"RENAULT D250";2874MJL;+371300000049502;866728065887019;;1130940652;;;TELTONIKA;FMC640;1381.1552313018;"Coche ";"06.11.2023 09:10";"Telefónica Móviles España->Spain";Activa;"TRANS RIUS 2015 SL";OK;"1min "
28224455;Coche;"MAN TGL";6721MKW;+371300000067346;866728065581182;;1132732416;;;TELTONIKA;FMC640;1381.1055003002;"Coche ";"20.11.2023 09:14";"Telefónica Móviles España->Spain";Activa;"TRANS RIUS 2015 SL";OK;-
28224472;Coche;"MAN TGX";8428MJL;+371300000067412;866728065581471;;1132733615;01.02.22;;TELTONIKA;FMC640;900588RH40R01;"Coche ";"02.08.2023 09:37";"Vodafone Spain->Spain";Activa;FICALTRANS;OK;-
