﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28062802;Coche;"Renault Clío";OBD_2_MADRID;+345901018613658;352625690015613;;1113597696;03.25.17;;TELTONIKA;FMB003;;"Coche ";"11.10.2023 08:42";"Telefónica Móviles España->Spain";Activa;"TECNICOS SECURITAS ESPAÑA";OK;"32min "
28099431;Coche;"Citroën Berlingo";4693LVR;+345901010343516;865894050013770;;865894050013770;;;QUECLINK;GV300CEU;;"Coche ";"13.04.2023 12:43";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;"1min "
28102763;Coche;"Citroen Berlingo";1022LYG;+345901010678437;865894050010545;;865894050010545;;;QUECLINK;GV300CEU;;"Coche ";"05.09.2023 13:05";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;"4min "
28102770;Coche;"Citroen Berlingo";0676LYG;+345901009541028;865894050007244;;865894050007244;;;QUECLINK;GV300CEU;;"Coche ";"05.09.2023 12:58";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;-
28102775;Coche;;3853LYF;+345901008101175;865894050017235;;865894050017235;;;QUECLINK;GV300CEU;;"Coche ";"20.07.2023 10:31";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;-
28102781;Coche;"JAVIER MORAL HAJJAJ";0442LYG;+345901010675623;865894050006576;;865894050006576;;;QUECLINK;GV300CEU;;"Coche ";"20.07.2023 09:58";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;"2min "
28102792;Coche;;2966LYF;+345901010658892;865894050016294;;865894050016294;;;QUECLINK;GV300CEU;;"Coche ";"20.07.2023 11:00";;Desconocido;"TECNICOS SECURITAS ESPAÑA";NODATA;"117d 3h "
28102799;Coche;"Citroen Berlingo";0328LYG;+345901009539244;865894050015270;;865894050015270;;;QUECLINK;GV300CEU;;"Coche ";"05.09.2023 09:55";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;"2min "
28102804;Coche;;4920LYV_JuanAntonio_Santiago;+345901000972418;865894050006345;;;;;QUECLINK;GV300;;"Coche ";"10.07.2023 13:35";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;-
28102805;Coche;;0573LYG;+345901010652723;865894050013762;;865894050013762;;;QUECLINK;GV300CEU;;"Coche ";"27.07.2023 23:39";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;"1min "
28102809;Coche;"Juan Carlos Ceregido Rodrigue";3132LYF;+345901010677614;865894050012327;;865894050012327;;;QUECLINK;GV300CEU;;"Coche ";"20.07.2023 10:21";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;"2min "
28102815;Coche;"ALEJANDRO LORENZO";3389LYG;+345901010677742;865894050012749;;865894050012749;;;QUECLINK;GV300CEU;;"Coche ";"21.07.2023 08:11";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;"1min "
28102816;Coche;"Citroen Berlingo";3845LYF;+345901000215815;865894050006527;;865894050006527;;;QUECLINK;GV300CEU;;"Coche ";"05.09.2023 09:56";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;"1min "
28102821;Coche;;3880LYF;+345901010665133;865894050011857;;865894050011857;;;QUECLINK;GV300CEU;;"Coche ";"20.07.2023 11:12";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;-
28102893;Coche;"Pedro Garrido";3171LYF;+345901010679946;865894050008150;;865894050008150;;;QUECLINK;GV300CEU;;"Coche ";"25.07.2023 10:28";;Desconocido;"TECNICOS SECURITAS ESPAÑA";OK;-
