﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
218421;Coche;"Scania G4440 2011";LAB780;+467191203571508;351628098963740;240075811756875;218421;1.68;2.3;"Mapon Expert";;900208R7.3/07R01;"Coche ";"14.02.2022 13:04";"Monaco Telecom->Cyprus";Activa;"Soroka Fuels Transport";OK;-
218422;Coche;"Scania 2011";LAB786;+467191203571509;351628099035969;240075811756876;218422;1.71;2.3;"Mapon Expert";;900208R7.3/07R01;"Coche ";"09.02.2022 11:57";"Cyprus Telecommunications Authority->Cyprus";Activa;"Soroka Fuels Transport";NODATA;"65d 10h 5min "
218522;Coche;"Scania G500";NHT879;+37128639213;351628099030192;247010601697995;218522;1.69;2.3;"Mapon Expert";;900208R7.6/37R09;"Coche ";"03.03.2020 11:17";"Monaco Telecom->Cyprus";Activa;"Soroka Fuels Transport";NODATA;"195d 9h 14min "
218568;Coche;"Scania G500 2019";NHP307;+37129342429;351628099025036;247010601697965;218568;1.68;2.3;"Mapon Expert";;900208R7.6/37R09;"Coche ";"07.02.2022 15:27";"Cyprus Telecommunications Authority->Cyprus";Activa;"Soroka Fuels Transport";OK;"1min "
218569;Coche;"Scania G500 2019";NHT166;+37126604809;351628099027867;247010601697971;218569;1.68;2.3;"Mapon Expert";;900208R7.6/37R09;"Coche ";"07.02.2022 13:38";"Cyprus Telecommunications Authority->Cyprus";Activa;"Soroka Fuels Transport";OK;-
218580;Coche;"Scania G500 2019";NBT186;+37120266314;351628099028758;247010601697958;218580;1.68;2.3;"Mapon Expert";;900208R7.6/37R09;"Coche ";"07.02.2022 14:33";"Monaco Telecom->Cyprus";Activa;"Soroka Fuels Transport";OK;-
218592;Coche;"Scania 2014";MBX675;+37122008750;351628099029087;247010601697976;218592;1.68;2.3;"Mapon Expert";;900208R7.4/07R04;"Coche ";"09.02.2022 13:58";"Cyprus Telecommunications Authority->Cyprus";Activa;"Soroka Fuels Transport";"NODATA (NOPOWER)";"237d 1h 26min "
27990458;Coche;"Ford Focus";MZP024;+37129142896;359632105994450;;1104651874;03.25.11;;TELTONIKA;FMB140;;"Coche ";"03.03.2020 16:10";"Monaco Telecom->Cyprus";Activa;"Tachotech Route Planning";"NODATA (NOPOWER)";"1174d 5h 23min "
27990459;Coche;"MB Sprinter 07";KRW195;+37126690533;359632105987843;;1104649650;03.25.11;;TELTONIKA;FMB140;;"Coche ";"01.07.2020 20:42";"Cyprus Telecommunications Authority->Cyprus";Activa;"Cheeseline Ltd";OK;"5min "
27996113;Coche;"Tacho Server";"Tacho Server";;;00000000000;;3.2;;SMARTCARD;A10;;"Coche ";"05.03.2020 16:28";;;"Tachotech Ltd";OK;-
27998352;Coche;Renault;NHZ583-OLD;;867995030223534;;;;;QUECLINK;GV300CAN;;"Coche ";"25.02.2020 17:21";;;"Tachotech Ltd";"NODATA (NOPOWER)";"1044d 4h 27min "
27998835;Coche;"MB Sprinter";NTM582;+467191203648442;359633106205904;;1106481624;03.25.15;;TELTONIKA;FMB140;;"Coche ";"17.08.2020 14:41";"Cyprus Telecommunications Authority->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"5min "
27998837;Coche;"Nissan Terrano";HNH456;+467191203648443;359633106206050;;1106481628;03.27.13;;TELTONIKA;FMB140;;"Coche ";"29.09.2020 10:07";"Monaco Telecom->Cyprus";Activa;"Z & X GROUP OF COMPANIES";OK;"7min "
27998838;Coche;"Toyota Dyna";KSN576;+467191203648445;359633106115269;;1106486354;03.27.13;;TELTONIKA;FMB140;;"Coche ";"22.09.2020 08:56";"Cyprus Telecommunications Authority->Cyprus";Activa;"Z & X GROUP OF COMPANIES";OK;-
27998839;Coche;"IVECO DAILY";PYB894;+467191203648441;359633106115095;;1106486356;03.25.15;;TELTONIKA;FMB140;;"Coche ";"17.08.2020 15:47";"Cyprus Telecommunications Authority->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"7min "
27998840;Coche;"MB Sprinter";NXZ950;+467191203648447;359633106115178;;1106486357;03.25.15;;TELTONIKA;FMB140;;"Coche ";"17.08.2020 13:14";"Cyprus Telecommunications Authority->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;-
27998841;Coche;"IVECO STRALIS";NXP252;+467191203648446;359633106134419;;1106494377;03.25.15;;TELTONIKA;FMB140;;"Coche ";"25.08.2020 10:59";"Monaco Telecom->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"4min "
27998842;Coche;"MB Sprinter";NMB739;+467191203648444;359633106134260;;1106494378;03.25.15;;TELTONIKA;FMB140;;"Coche ";"17.08.2020 16:47";"Cyprus Telecommunications Authority->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"2min "
27998843;Coche;"IVECO DAILY";PKA275;+467191203648448;359633106134278;;1106494387;03.25.15;;TELTONIKA;FMB140;;"Coche ";"17.08.2020 17:22";"Cyprus Telecommunications Authority->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"5min "
27998964;Coche;"Renault Kangoo 2013";NHZ583;+37127301628;359633106234276;;1106479842;03.25.15;;TELTONIKA;FMB140;;"Coche ";"12.01.2022 15:00";"Cyprus Telecommunications Authority->Cyprus";Activa;"Tachotech Ltd";OK;-
27998969;Coche;"Mercedes GLE 250D";MZP869;+37129337600;359633106109734;;1106486041;03.25.15;;TELTONIKA;FMB140;;"Coche ";"01.07.2020 15:53";;Activa;"A. C. Chrysanthou Ltd";OK;"1min "
27998970;Coche;"Iveco Daily";NTB348;+37126579523;359633106114809;;1106486274;03.25.15;;TELTONIKA;FMB140;;"Coche ";"29.07.2020 10:40";;Activa;"Delicacy Foods Ltd";OK;-
27998972;Coche;"MB Sprinter";MNK396;+37125400078;359633106114817;;1106486283;03.25.15;;TELTONIKA;FMB140;;"Coche ";"18.08.2020 13:02";"Cyprus Telecommunications Authority->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";"NODATA (NOPOWER)";"8d 8h 23min "
27998973;Coche;"Peugeot Boxer";LAT582;+37125479045;359633106115186;;1106486363;03.25.15;;TELTONIKA;FMB140;;"Coche ";"08.12.2020 12:56";"Monaco Telecom->Cyprus";Activa;"Intergaz Ltd";OK;"5min "
27999841;Coche;"Ford Transit Connect";MHB446;+37127297393;359633103990052;;1106356211;03.25.15;;TELTONIKA;FMB120;;"Coche ";"01.09.2020 08:47";;Activa;"Amalthia Trading (Nicosia) Ltd";OK;-
27999848;Coche;"Vaxhaul Corsa";NME674;+37126197606;359633107120284;;1106365569;03.25.15;;TELTONIKA;FMB120;;"Coche ";"25.08.2020 14:02";;Activa;"Amalthia Trading (Nicosia) Ltd";OK;"5min "
28000194;Coche;"VOLVO FH 2016";KJQ854;+37126544251;359633107058013;;1106448017;00.03.65;;TELTONIKA;FMB640;1381.1232309007;"Coche ";"08.04.2021 10:16";"Cyprus Telecommunications Authority->Cyprus";Activa;"Soroka Fuels Transport";NODATA;"5h 10min "
28000195;Coche;VOLVO;MNP363;+37125727290;359633106022663;;1106440443;00.03.65;;TELTONIKA;FMB640;1381.1012000020;"Coche ";"09.02.2022 10:05";"Monaco Telecom->Cyprus";Activa;"Soroka Fuels Transport";NODATA;"433d 2h 8min "
28000196;Coche;"VOLVO FM EURO6";NXE577;+37125686207;359633106080182;;1106443437;00.03.79;;TELTONIKA;FMB640;1381.4232309007;"Coche ";"11.08.2020 10:59";"Monaco Telecom->Cyprus";Activa;"Soroka Fuels Transport";OK;"2min "
28000197;Coche;"VOLVO FM EURO6";NYK159;+37125450126;359633107057874;;1106448007;00.03.65;;TELTONIKA;FMB640;1381.4232309007;"Coche ";"03.09.2020 13:46";"Monaco Telecom->Cyprus";Activa;"Soroka Fuels Transport";OK;"7min "
28000199;Coche;"VOLVO FH EURO5";KJQ304;+37126664215;359633106133106;;1106442287;00.03.65;;TELTONIKA;FMB640;1381.1232309007;"Coche ";"12.08.2020 10:55";"Monaco Telecom->Cyprus";Activa;"Soroka Fuels Transport";NODATA;"2d 6h 32min "
28000217;Coche;"VOLVO FM EURO6";NTZ793;+37126329142;359633106128775;;1106448461;00.03.74;;TELTONIKA;FMB640;1381.4232309007;"Coche ";"28.07.2020 14:02";;Activa;"Soroka Fuels Transport";NODATA;"8h 37min "
28000219;Coche;"VOLVO FH";NEB854;+37126379004;359633106117380;;1106443290;00.03.65;;TELTONIKA;FMB640;1381.1012000019;"Coche ";"07.02.2022 12:02";"Monaco Telecom->Cyprus";Activa;"Soroka Fuels Transport";OK;"5min "
28000234;Coche;"VOLVO FM EURO5";NXY195;+37129409089;359633107060092;;1106447604;00.03.65;;TELTONIKA;FMB640;1381.4232309007;"Coche ";"03.09.2020 10:19";"Cyprus Telecommunications Authority->Cyprus";Activa;"Soroka Fuels Transport";NODATA;"53min "
28000238;Coche;"VOLVO FL";NTB323;+37125719873;359633106072387;;1106440965;00.03.65;;TELTONIKA;FMB640;;"Coche ";"04.09.2020 07:06";;Activa;"Soroka Fuels Transport";"NODATA (NOPOWER)";"576d 6h 28min "
28000240;Coche;"Mitsubishi Fuso 2023";PMB953;+37125605410;359633103854159;;1106440767;00.03.65;;TELTONIKA;FMB640;;"Coche ";"10.03.2023 10:52";;Activa;"Frinics Chemicals Ltd";NODATA;"3h 21min "
28000242;Coche;"VOLVO FH EURO 5";NYH863;+37126107668;359633106080901;;1106445644;00.03.65;;TELTONIKA;FMB640;1381.2012009002;"Coche ";"09.11.2020 11:05";"Monaco Telecom->Cyprus";Activa;"Soroka Fuels Transport";OK;"4min "
28000414;Coche;"Toyota Hilux";KSU648;+467191203648434;359633101872815;;1106704565;03.27.13;;TELTONIKA;FMB140;;"Coche ";"28.09.2020 13:21";"Cyprus Telecommunications Authority->Cyprus";Activa;"Z & X GROUP OF COMPANIES";OK;"4min "
28000416;Coche;"Ford Transit Connect SWB";"03 - NNE510";+467191203648433;359633101921687;;1106705455;03.27.13;;TELTONIKA;FMB140;;"Coche ";"29.09.2020 11:14";"Cyprus Telecommunications Authority->Cyprus";Activa;"Z & X GROUP OF COMPANIES";OK;"5min "
28000417;Coche;"Nissan Patrol";"ZC - WR467";+467191203648429;359633101544703;;1106705703;03.25.15;;TELTONIKA;FMB140;;"Coche ";"29.09.2020 11:32";"Monaco Telecom->Cyprus";Activa;"Z & X GROUP OF COMPANIES";OK;-
28000418;Coche;"MB Atego 816";NBE796;+467191203648437;359633101456734;;1106705806;03.25.15;;TELTONIKA;FMB140;;"Coche ";"12.08.2020 10:58";"PrimeTel PLC->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"2min "
28000419;Coche;"Mitsubishi Pajero iO";"ZC - HXB537";+467191203648435;359633101972557;;1106707943;03.25.15;;TELTONIKA;FMB140;;"Coche ";"28.09.2020 15:41";"Cyprus Telecommunications Authority->Cyprus";Activa;"Z & X GROUP OF COMPANIES";OK;-
28000420;Coche;"Mitsubishi L200";KHZ258;+467191203648438;359633101971369;;1106708756;03.27.13;;TELTONIKA;FMB140;;"Coche ";"29.09.2020 15:55";"Cyprus Telecommunications Authority->Cyprus";Activa;"Z & X GROUP OF COMPANIES";OK;"3min "
28000421;Coche;"MERCEDES ATEGO 816";PHE564;+467191203648439;359633101476567;;1106708915;03.25.15;;TELTONIKA;FMB140;;"Coche ";"18.08.2020 10:18";"Cyprus Telecommunications Authority->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"3min "
28000422;Coche;"MB Sprinter";PEN897;+467191203648432;359633101476542;;1106708919;03.25.15;;TELTONIKA;FMB140;;"Coche ";"19.10.2020 10:04";"Cyprus Telecommunications Authority->Cyprus";Activa;"Gourmet Group Of Companies";OK;"2min "
28000423;Coche;"Renault Trafic";NZH165;+467191203648431;359633101459019;;1106708923;03.25.15;;TELTONIKA;FMB140;;"Coche ";"19.10.2020 10:03";"Cyprus Telecommunications Authority->Cyprus";Activa;"Gourmet Group Of Companies";OK;"5min "
28010931;Coche;"Kalmar DCD 370-12";FL1;+35796492365;867995030169844;;;;;QUECLINK;GV300CAN;;"Coche ";"01.07.2020 14:28";;Activa;"A. SOULIS ENTERPRISES LTD";"NODATA (NOPOWER)";"219d 21h 43min "
28010932;Coche;"Terberg RT222";TR1;+35796492153;867995030141116;;;;;QUECLINK;GV300CAN;;"Coche ";"01.07.2020 14:31";;Activa;"A. SOULIS ENTERPRISES LTD";"NODATA (NOPOWER)";"462d 4h 52min "
28010933;Coche;"Terberg RT222";TR2;+35796492475;867995030146917;;;;;QUECLINK;GV300CAN;;"Coche ";"01.07.2020 14:32";;Activa;"A. SOULIS ENTERPRISES LTD";"NODATA (NOPOWER)";"462d 2h 2min "
28010934;Coche;"Terberg RT222";TR3;+35796492218;867995030156643;;;;;QUECLINK;GV300CAN;;"Coche ";"01.07.2020 14:33";;Activa;"A. SOULIS ENTERPRISES LTD";"NODATA (NOPOWER)";"462d 4h "
28011301;Coche;"BMW X1 2018";MNM821;+37129384088;359633107837176;;1107822793;-;;TELTONIKA;FMB002;;"Coche ";"19.12.2022 17:30";"Cyprus Telecommunications Authority->Cyprus";Activa;Sophia;OK;"3min "
28015067;Coche;"Ford Transit 2007";KSF081;+37126172776;359633109885330;;1107932985;03.25.15;;TELTONIKA;FMB140;;"Coche ";"19.08.2020 14:15";"Cyprus Telecommunications Authority->Cyprus";Activa;"Delicacy Foods Ltd";OK;-
28015068;Coche;"Ford Fiesta 2015";MMK656;+37127291005;359633109949623;;1107933025;03.25.15;;TELTONIKA;FMB140;;"Coche ";"02.09.2020 13:47";"Cyprus Telecommunications Authority->Cyprus";Activa;"Delicacy Foods Ltd";OK;"2min "
28015069;Coche;"Ford Transit 2006";KSF996;+37120284522;359633109949532;;1107933030;03.25.15;;TELTONIKA;FMB140;;"Coche ";"18.08.2020 15:30";"Cyprus Telecommunications Authority->Cyprus";Activa;"Delicacy Foods Ltd";OK;"4min "
28015070;Coche;"Ford Fiesta 2019";NKE407;+37128689336;359633109949789;;1107933031;03.25.15;;TELTONIKA;FMB140;;"Coche ";"15.09.2020 13:53";"Cyprus Telecommunications Authority->Cyprus";Activa;"Delicacy Foods Ltd";OK;"3min "
28015071;Coche;"VW POLO 2020";NXA714;+37128671403;359633109949615;;1107933034;03.25.15;;TELTONIKA;FMB140;;"Coche ";"11.09.2020 09:27";;Activa;"Gourmet Group Of Companies";OK;"6min "
28015072;Coche;"KIA PICANTO";PMM060;+37127852141;359633109930771;;1107934375;03.25.15;;TELTONIKA;FMB140;;"Coche ";"26.05.2022 11:09";"Cyprus Telecommunications Authority->Cyprus";Activa;IPH;"OK (NOGPS)";-
28015073;Coche;"Ford Transit 2010";KYR573;+37127816732;359633109930623;;1107934379;03.25.15;;TELTONIKA;FMB140;;"Coche ";"24.08.2020 14:28";"Cyprus Telecommunications Authority->Cyprus";Activa;"Delicacy Foods Ltd";OK;-
28015074;Coche;"MB Sprinter 2012";MPH848;+37120260302;359633109869631;;1107935071;03.25.15;;TELTONIKA;FMB140;;"Coche ";"19.08.2020 13:21";"Cyprus Telecommunications Authority->Cyprus";Activa;"Delicacy Foods Ltd";OK;-
28015075;Coche;"Renault Trafic 2020";NXT252;+37125725334;359633109869557;;1107935078;03.25.15;;TELTONIKA;FMB140;;"Coche ";"10.09.2020 08:36";"Cyprus Telecommunications Authority->Cyprus";Activa;"ACS Cyprus";"OK (NOPOWER)";"35min "
28015076;Coche;"Ford Fiesta 2016";MPP786;+37126690482;359633109871561;;1107935144;03.25.15;;TELTONIKA;FMB140;;"Coche ";"02.09.2020 15:23";"Monaco Telecom->Cyprus";Activa;"Delicacy Foods Ltd";OK;"6min "
28015117;Coche;"Ford Focus";MZP154;+467191205545308;354017110352495;;1107659008;03.25.15;;TELTONIKA;FMB140;;"Coche ";"26.08.2020 11:31";"Monaco Telecom->Cyprus";Activa;"Andreas Pavlopoulos";OK;"7min "
28015118;Coche;"Isuzu Elf";KNF846;+467191205545312;354017110349087;;1107659010;03.27.13;;TELTONIKA;FMB140;;"Coche ";"28.09.2020 19:13";"Cyprus Telecommunications Authority->Cyprus";Activa;"Z & X GROUP OF COMPANIES";OK;"2min "
28015119;Coche;"IVECO DAILY";PPZ434;+467191205545304;354017110352412;;1107659011;03.25.15;;TELTONIKA;FMB140;;"Coche ";"01.09.2020 08:37";"Cyprus Telecommunications Authority->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"2min "
28015120;Coche;RENAULT;NZB581;+467191205545315;359633107818374;;1107662457;03.25.15;;TELTONIKA;FMB140;;"Coche ";"01.09.2020 08:40";"PrimeTel PLC->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"6min "
28015121;Coche;"MB Axor 1824";NHB043;+467191205545306;359633107817301;;1107662470;03.25.15;;TELTONIKA;FMB140;;"Coche ";"01.09.2020 08:44";"Monaco Telecom->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"1min "
28015122;Coche;"MB Atego 1623";MEE177;+467191205545314;359633109426770;;1108150225;03.25.15;;TELTONIKA;FMB140;;"Coche ";"25.08.2020 09:58";"Cyprus Telecommunications Authority->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"2min "
28015123;Coche;"MB Axor 2529";MPE781;+467191205545316;359633109426747;;1108150228;03.25.15;;TELTONIKA;FMB140;;"Coche ";"25.08.2020 13:48";"Cyprus Telecommunications Authority->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";"NODATA (NOPOWER)";"173d 2h 18min "
28015124;Coche;"Ford Transit Courier";"06 - NPA679";+467191205545313;359633109426952;;1108150231;03.27.13;;TELTONIKA;FMB140;;"Coche ";"28.09.2020 15:12";"Cyprus Telecommunications Authority->Cyprus";Activa;"Z & X GROUP OF COMPANIES";OK;"9min "
28015125;Coche;"MB Sprinter";NMK590;+467191205545305;359633109426879;;1108150232;03.25.15;;TELTONIKA;FMB140;;"Coche ";"01.09.2020 08:33";"Monaco Telecom->Cyprus";Activa;"Amalthia Trading (Nicosia) Ltd";OK;"1min "
28015126;Coche;"Renault Kangoo";"10 - KTC595";+467191205545318;359633109426721;;1108150233;03.25.15;;TELTONIKA;FMB140;;"Coche ";"28.09.2020 19:30";"Cyprus Telecommunications Authority->Cyprus";Activa;"Z & X GROUP OF COMPANIES";OK;"4min "
