﻿"Dispositivo ";"Tipo de Vehículo";"Marca/ Modelo";Matrícula;Teléfono;IMEI;IMSI;"Núm. de serie ";"Firmware ";Hardware;Modelo;"Ver. modelo";"Tacho model";"Estado ";Instalado;"Operador ";"Estado Sim";CLIENTE;Monitor;"Datos perdidos"
28046697;Coche;"Nissan Cabstar";"9685KSK	";+467191205897352;354018114952595;;1111710892;03.27.12;;TELTONIKA;FMB003;;"Coche ";"03.01.2024 12:55";"Telefónica Móviles España->Spain";Activa;EUROFOR;OK;"4min "
28150782;Coche;"TOYOTA HILUX";6782GXD;+467191205854651;350544500716587;;1124926566;03.27.12;;TELTONIKA;FMB003;;"Coche ";"26.10.2023 13:40";"Vodafone Spain->Spain";Activa;EUROFOR;OK;"5min "
28233405;Coche;"TOYOTA HILUX";9883JNK;+467191205854609;350612071876773;;1131060646;03.27.12;;TELTONIKA;FMB003;;"Coche ";"04.10.2023 13:42";"Telefónica Móviles España->Spain";Activa;EUROFOR;OK;"7min "
28233424;Coche;"Toyota Rav-4";2128JGG;+467191205897343;350612071860512;;1131062409;03.27.12;;TELTONIKA;FMB003;;"Coche ";"03.01.2024 12:51";"Vodafone Spain->Spain";Activa;EUROFOR;OK;"3min "
28233426;Coche;"Toyota Hilux";6787GXD;+467191205897336;350612071860686;;1131062451;03.27.12;;TELTONIKA;FMB003;;"Coche ";"03.01.2024 12:38";"Vodafone Spain->Spain";Activa;EUROFOR;OK;"4min "
28233431;Coche;"MERCEDES SPRINTER";4474GTR;+467191205854613;350612071856189;;1131062826;03.27.12;;TELTONIKA;FMB003;;"Coche ";"04.10.2023 13:44";"Telefónica Móviles España->Spain";Activa;EUROFOR;OK;"7min "
28233445;Coche;"Renault Kangoo";6292HHH;+467191205897337;350317175017924;;1131068362;03.27.12;;TELTONIKA;FMB003;;"Coche ";"03.01.2024 12:46";"Vodafone Spain->Spain";Activa;EUROFOR;OK;"1min "
28233447;Coche;"Seat Arona";0266LFP;+467191205897355;350317175017809;;1131068422;03.27.12;;TELTONIKA;FMB003;;"Coche ";"03.01.2024 12:07";"Vodafone Spain->Spain";Activa;EUROFOR;OK;"3min "
28233448;Coche;"TOYOTA HILUX";4050HRW;+467191205854608;350317175018039;;1131068424;03.27.12;;TELTONIKA;FMB003;;"Coche ";"04.10.2023 13:43";"Orange Espagne S.A.U->Spain";Activa;EUROFOR;OK;"3min "
28233449;Coche;"HONDA CRV";6594HNW;+467191205854612;350612070295504;;1131068430;03.27.12;;TELTONIKA;FMB003;;"Coche ";"04.10.2023 13:41";"Vodafone Spain->Spain";Activa;EUROFOR;OK;"3min "
28233454;Coche;"Nissan Cabstar ";0990GCY;+467191205897344;350317175017965;;1131068475;03.27.12;;TELTONIKA;FMB003;;"Coche ";"03.01.2024 12:57";"Vodafone Spain->Spain";Activa;EUROFOR;OK;-
28233464;Coche;"Peugeot Parther";8925JZK;+467191205897345;350612071880510;;1131068613;03.27.12;;TELTONIKA;FMB003;;"Coche ";"03.01.2024 13:00";;Activa;EUROFOR;NODATA;"216d 28min "
28233465;Coche;"Fiat Doblo";8539HNF;+467191205897380;350612071880437;;1131068614;03.27.12;;TELTONIKA;FMB003;;"Coche ";"03.01.2024 12:53";"Vodafone Spain->Spain";Activa;EUROFOR;OK;"4min "
28233468;Coche;"OPEL MOVANO";2833MKC;+467191205897331;350317175012099;;1131069950;03.27.12;;TELTONIKA;FMB003;;"Coche ";"07.02.2024 12:42";"Vodafone Spain->Spain";Activa;AIRCOMCR;OK;"4min "
28233470;Coche;"Citroen Jumper";6421KMH;+467191205897338;350317175012164;;1131069952;03.27.12;;TELTONIKA;FMB003;;"Coche ";"03.01.2024 12:27";"Vodafone Spain->Spain";Activa;EUROFOR;OK;"1min "
