"Tautība";"Vecuma grupa";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Pavisam";"Pavisam";2074605;2044813;2023825;2001468;1986096;1968957;1950116;1934379;1919968;1907675;1893223;1875757;1883008;1871882
"Pavisam";"0–4 gadi";107869;104325;101271;99095;100386;103624;106973;107725;106168;103060;98395;93790;90245;85167
"Pavisam";"5–9 gadi";96865;98722;101240;103729;105242;103843;101634;99799;98221;99627;102952;106319;109480;108210
"Pavisam";"10–14 gadi";89809;89115;89805;91560;92092;92793;94980;97767;100691;102501;101631;99883;100752;99439
"Pavisam";"15–19 gadi";122365;110566;99633;91835;87794;86281;85799;86834;88927;89522;90565;92847;97663;101198
"Pavisam";"20–24 gadi";155706;149364;143614;134223;124503;113332;102510;92989;87077;83996;83094;82883;84994;87628
"Pavisam";"25–29 gadi";147966;148320;149365;147024;144802;142180;137155;131714;123792;115546;106132;97180;90043;84766
"Pavisam";"30–34 gadi";135044;132353;132349;134101;135861;137236;138635;139806;139017;137794;136375;132936;130197;122844
"Pavisam";"35–39 gadi";142973;138898;135424;132003;129127;126836;125024;125015;127927;130379;132376;135403;140118;140103
"Pavisam";"40–44 gadi";141122;140669;140190;138512;137503;135589;132105;128938;126352;124087;122421;121963;124727;128512
"Pavisam";"45–49 gadi";149021;143424;139231;136112;134134;133922;133550;133208;132411;131906;130447;128147;127359;125702
"Pavisam";"50–54 gadi";152843;153905;152990;150000;146613;140870;135855;131885;129259;127715;128098;128703;130010;129998
"Pavisam";"55–59 gadi";132704;133043;135555;139610;141822;143381;144574;143946;141408;138282;133517;129230;126933;125056
"Pavisam";"60–64 gadi";119178;122563;123374;122049;121141;122485;123413;125897;129739;131847;133522;134850;135569;133808
"Pavisam";"65–69 gadi";106522;99849;97812;99251;103499;107417;110632;111555;110469;109804;111464;112253;115284;118782
"Pavisam";"70–74 gadi";109320;110462;108169;103689;98023;91871;86241;84730;86232;90370;93795;96013;97231;96365
"Pavisam";"75–79 gadi";76600;77403;79622;82915;86939;88883;90133;88289;84765;80187;74958;70004;69031;70733
"Pavisam";"80–84 gadi";55810;56539;56605;55708;54752;54611;55838;58111;60749;64080;65690;65452;64106;61899
"Pavisam";"85 gadi un vairāk";32888;35293;37576;40052;41863;43803;45065;46171;46764;46972;47791;47901;49266;51672
"Latvieši";"Pavisam";1255785;1245246;1237463;1229067;1223650;1216443;1209401;1202781;1196578;1192333;1187891;1181534;1175902;1171070
"Latvieši";"0–4 gadi";70299;67897;65951;65924;68352;71984;76055;78466;77799;76194;73674;71211;68120;65201
"Latvieši";"5–9 gadi";66870;67366;68094;69161;69669;68221;66490;65222;65538;67975;71733;75749;78230;77714
"Latvieši";"10–14 gadi";63138;62755;63278;64458;64498;64434;65165;66016;67344;68041;67006;65573;64541;65050
"Latvieši";"15–19 gadi";88459;80287;72010;65739;62239;61139;60708;61329;62621;62816;63030;63970;65060;66486
"Latvieši";"20–24 gadi";104185;102331;100856;96103;90407;82964;75066;67336;61823;58895;58239;58107;58676;60185
"Latvieši";"25–29 gadi";94583;96330;98053;97624;97139;96606;94637;92502;88276;83361;77102;70417;63461;58616
"Latvieši";"30–34 gadi";84316;83598;84253;86243;88113;89346;90876;91845;91938;91728;92029;90942;89340;85600
"Latvieši";"35–39 gadi";88802;87110;85642;83368;81783;80268;79470;79791;81954;84045;85810;88104;89965;90517
"Latvieši";"40–44 gadi";84690;85853;86409;86262;85887;84936;83397;81697;79663;78326;77390;77178;78134;80642
"Latvieši";"45–49 gadi";83405;81683;80766;80258;80290;81299;82128;82579;82768;82614;82002;80840;79651;78093
"Latvieši";"50–54 gadi";80602;82750;83294;83003;82018;79799;77941;76801;76366;76642;78051;79270;80082;80476
"Latvieši";"55–59 gadi";65892;67083;69591;72584;74815;76474;78246;78806;78538;77674;75895;74321;73532;73436
"Latvieši";"60–64 gadi";57193;59331;60191;59854;60035;61462;62544;64840;67683;69940;71600;73279;74016;74036
"Latvieši";"65–69 gadi";66689;60881;56068;52888;51799;51934;53935;54725;54404;54561;56061;57084;59276;61960
"Latvieši";"70–74 gadi";60427;61532;62791;62931;61231;57881;52763;48694;45988;45309;45428;46907;47535;47486
"Latvieši";"75–79 gadi";45163;45183;45307;46426;48225;49511;50577;51588;51853;50424;47482;42951;39688;37724
"Latvieši";"80–84 gadi";31977;32851;33205;33032;32680;32540;32849;33295;34237;35692;36767;37068;37782;38165
"Latvieši";"85 gadi un vairāk";19095;20425;21704;23209;24470;25645;26554;27249;27785;28096;28592;28563;28813;29683
"Baltkrievi";"Pavisam";73781;72011;70273;68695;67318;65999;64257;62713;61429;60097;58632;57319;55929;54645
"Baltkrievi";"0–4 gadi";520;474;437;438;471;514;548;547;526;472;420;398;368;334
"Baltkrievi";"5–9 gadi";966;831;707;606;553;510;474;433;444;475;521;577;589;571
"Baltkrievi";"10–14 gadi";1221;1208;1174;1142;1062;930;806;702;607;556;508;485;472;483
"Baltkrievi";"15–19 gadi";1948;1644;1442;1296;1229;1197;1175;1161;1146;1058;931;817;711;633
"Baltkrievi";"20–24 gadi";3440;3135;2825;2403;2095;1811;1550;1372;1257;1191;1172;1166;1132;1113
"Baltkrievi";"25–29 gadi";3580;3595;3528;3452;3311;3193;2941;2646;2309;2039;1753;1550;1368;1254
"Baltkrievi";"30–34 gadi";3690;3550;3470;3392;3393;3397;3387;3368;3356;3237;3112;2956;2684;2337
"Baltkrievi";"35–39 gadi";3957;3778;3643;3584;3535;3498;3359;3304;3297;3303;3284;3399;3429;3426
"Baltkrievi";"40–44 gadi";5413;4976;4639;4297;4074;3854;3639;3472;3430;3413;3382;3340;3327;3299
"Baltkrievi";"45–49 gadi";7410;6981;6468;6054;5627;5203;4751;4417;4128;3906;3689;3555;3432;3400
"Baltkrievi";"50–54 gadi";8316;8243;8170;7870;7500;7101;6689;6202;5807;5385;4934;4562;4290;4014
"Baltkrievi";"55–59 gadi";7123;7155;7299;7604;7842;7864;7796;7733;7488;7124;6798;6406;5948;5578
"Baltkrievi";"60–64 gadi";6286;6660;6778;6701;6532;6652;6694;6801;7062;7312;7365;7367;7323;7078
"Baltkrievi";"65–69 gadi";5294;4928;4745;4913;5265;5704;6029;6142;6092;5956;6045;6098;6223;6419
"Baltkrievi";"70–74 gadi";6250;6043;5829;5436;5107;4544;4232;4125;4291;4581;4971;5217;5363;5296
"Baltkrievi";"75–79 gadi";4309;4570;4703;4830;4992;5001;4861;4691;4374;4158;3672;3430;3325;3492
"Baltkrievi";"80–84 gadi";2729;2782;2860;2933;2925;3050;3266;3433;3522;3622;3653;3461;3324;3123
"Baltkrievi";"85 gadi un vairāk";1329;1458;1556;1744;1805;1976;2060;2164;2293;2309;2422;2535;2621;2795
"Romi (čigāni)";"Pavisam";6643;6106;5906;5594;5388;5297;5191;5082;4983;4891;4838;4784;4677;4630
"Romi (čigāni)";"0–4 gadi";418;351;313;298;295;291;300;285;273;255;253;231;217;201
"Romi (čigāni)";"5–9 gadi";521;463;417;372;337;316;285;267;268;264;268;282;266;258
"Romi (čigāni)";"10–14 gadi";592;543;528;490;462;411;393;369;344;313;299;269;261;252
"Romi (čigāni)";"15–19 gadi";536;493;491;454;439;450;433;419;412;402;363;354;347;331
"Romi (čigāni)";"20–24 gadi";482;413;403;393;364;367;362;334;325;342;358;360;343;339
"Romi (čigāni)";"25–29 gadi";520;418;394;359;324;323;323;338;320;309;311;299;280;281
"Romi (čigāni)";"30–34 gadi";510;464;442;406;396;376;337;326;315;293;299;297;291;282
"Romi (čigāni)";"35–39 gadi";475;431;416;393;386;381;386;352;333;331;323;303;305;306
"Romi (čigāni)";"40–44 gadi";522;466;438;412;369;352;340;353;354;352;336;355;329;324
"Romi (čigāni)";"45–49 gadi";456;443;448;405;408;413;384;375;365;339;326;317;319;319
"Romi (čigāni)";"50–54 gadi";404;408;388;390;377;373;385;392;370;376;378;363;347;341
"Romi (čigāni)";"55–59 gadi";382;378;389;370;365;338;352;334;358;356;358;361;364;351
"Romi (čigāni)";"60–64 gadi";258;260;253;264;275;315;315;327;319;315;295;319;309;333
"Romi (čigāni)";"65–69 gadi";221;224;216;213;213;207;210;213;224;238;271;276;288;289
"Romi (čigāni)";"70–74 gadi";176;176;190;187;187;180;183;178;174;170;162;162;172;182
"Romi (čigāni)";"75–79 gadi";103;109;110;120;122;125;126;138;140;140;132;134;123;119
"Romi (čigāni)";"80–84 gadi";46;38;40;41;41;51;52;58;64;71;81;80;88;85
"Romi (čigāni)";"85 gadi un vairāk";21;28;30;27;28;28;25;24;25;25;25;22;28;37
"Ebreji";"Pavisam";6495;5986;5761;5402;5185;5013;4873;4721;4567;4436;4372;4231;4076;4019
"Ebreji";"0–4 gadi";68;49;59;62;79;108;122;125;122;110;95;86;85;74
"Ebreji";"5–9 gadi";190;143;109;91;71;57;51;57;67;80;105;120;128;132
"Ebreji";"10–14 gadi";210;214;218;210;202;171;132;104;85;67;56;54;59;73
"Ebreji";"15–19 gadi";159;146;147;152;163;182;194;200;199;182;156;126;101;89
"Ebreji";"20–24 gadi";260;179;139;117;101;89;104;110;119;133;150;158;158;152
"Ebreji";"25–29 gadi";329;260;249;223;192;175;136;108;90;87;80;94;105;116
"Ebreji";"30–34 gadi";339;279;259;244;259;241;227;220;199;165;156;126;107;81
"Ebreji";"35–39 gadi";350;327;299;290;264;253;239;231;219;240;225;210;204;192
"Ebreji";"40–44 gadi";256;240;245;246;255;267;274;265;261;242;235;232;214;212
"Ebreji";"45–49 gadi";330;280;237;226;202;208;204;213;220;231;239;257;249;252
"Ebreji";"50–54 gadi";409;371;354;330;299;268;242;212;197;182;191;191;198;217
"Ebreji";"55–59 gadi";502;446;424;401;364;337;317;303;284;268;242;218;192;189
"Ebreji";"60–64 gadi";895;743;610;510;472;449;414;386;364;322;298;280;276;268
"Ebreji";"65–69 gadi";372;464;600;679;744;753;666;560;478;449;431;390;367;345
"Ebreji";"70–74 gadi";667;650;552;413;323;303;380;498;609;675;713;624;528;445
"Ebreji";"75–79 gadi";437;450;509;517;530;520;507;419;336;265;260;331;430;530
"Ebreji";"80–84 gadi";365;364;375;336;306;295;312;358;383;421;420;396;316;262
"Ebreji";"85 gadi un vairāk";357;381;376;355;359;337;352;352;335;317;320;338;359;390
"Igauņi";"Pavisam";2085;1999;1938;1882;1839;1794;1731;1676;1625;1607;1587;1536;1478;1455
"Igauņi";"0–4 gadi";29;27;26;25;24;22;21;19;16;19;16;17;15;13
"Igauņi";"5–9 gadi";47;42;35;43;30;32;27;26;23;23;26;21;21;19
"Igauņi";"10–14 gadi";47;44;45;39;44;40;38;33;39;28;28;26;27;23
"Igauņi";"15–19 gadi";53;51;48;39;38;37;36;40;36;42;40;39;33;39
"Igauņi";"20–24 gadi";106;83;77;69;58;46;46;40;35;32;33;35;40;41
"Igauņi";"25–29 gadi";102;100;94;95;92;103;85;70;64;60;53;51;44;37
"Igauņi";"30–34 gadi";125;114;106;98;95;90;96;94;93;95;100;83;80;68
"Igauņi";"35–39 gadi";152;153;145;127;121;115;109;105;92;89;88;91;81;91
"Igauņi";"40–44 gadi";154;144;150;152;149;136;129;122;113;113;108;109;95;84
"Igauņi";"45–49 gadi";148;144;141;134;134;140;142;136;137;137;125;127;123;116
"Igauņi";"50–54 gadi";159;142;142;137;135;137;134;135;125;127;131;128;128;130
"Igauņi";"55–59 gadi";177;159;146;153;146;137;123;128;128;120;124;128;122;122
"Igauņi";"60–64 gadi";172;173;174;174;172;164;142;133;137;133;128;116;122;119
"Igauņi";"65–69 gadi";162;151;148;143;150;151;157;155;155;156;147;137;131;133
"Igauņi";"70–74 gadi";171;172;158;147;141;139;134;130;124;132;138;143;143;140
"Igauņi";"75–79 gadi";123;126;140;132;139;142;147;137;132;126;122;113;107;108
"Igauņi";"80–84 gadi";95;106;96;102;96;93;94;103;96;102;106;106;97;91
"Igauņi";"85 gadi un vairāk";63;68;67;73;75;70;71;70;80;73;74;66;69;81
"Krievi";"Pavisam";556434;541840;530419;520136;512400;504370;495528;487250;478667;471206;463587;454350;445612;437587
"Krievi";"0–4 gadi";13732;12663;12059;12631;13673;15246;16497;16938;16024;14738;13174;11674;10229;8733
"Krievi";"5–9 gadi";18830;17695;16446;15502;14472;13160;12339;11945;12509;13456;14965;16214;16643;15760
"Krievi";"10–14 gadi";18913;18754;18910;18890;18580;17908;16861;15761;14993;14053;12829;12113;11734;12332
"Krievi";"15–19 gadi";25073;22411;20206;18880;18324;17967;17921;18162;18181;17866;17341;16449;15431;14788
"Krievi";"20–24 gadi";38528;35231;32029;28265;25031;22383;20056;18188;17280;16903;16774;16841;17018;17128
"Krievi";"25–29 gadi";39603;38801;38355;36922;35533;33835;31408;28654;25373;22569;20298;18404;16665;15980
"Krievi";"30–34 gadi";37166;35944;35581;35471;35357;35357;35321;35218;34285;33257;31894;29842;27203;24185
"Krievi";"35–39 gadi";39898;38107;36544;35652;34635;33936;33310;33007;33363;33489;33606;33933;34024;33279
"Krievi";"40–44 gadi";39311;39047;38879;38155;37839;37147;35703;34441;33742;32889;32255;31907;31839;32377
"Krievi";"45–49 gadi";44101;41612;39602;38064;37068;36579;36505;36421;35922;35743;35265;34190;33191;32643
"Krievi";"50–54 gadi";49233;48358;47182;45244;43587;41032;38875;37200;35825;34923;34645;34756;34781;34558
"Krievi";"55–59 gadi";46568;45939;45712;46193;45850;45637;45024;44008;42253;40658;38475;36643;35216;34008
"Krievi";"60–64 gadi";42659;43644;43554;43035;42634;42552;42388;42261;42673;42191;42060;41502;40674;39238
"Krievi";"65–69 gadi";24181;24065;27000;30957;35212;38076;38970;39038;38700;38408;38545;38250;38200;38481
"Krievi";"70–74 gadi";31925;31954;28994;25433;22399;20643;20687;23268;26794;30577;33004;33548;33649;33225
"Krievi";"75–79 gadi";20625;20953;22357;23885;25393;25811;25916;23557;20493;18033;16590;16648;18810;21719
"Krievi";"80–84 gadi";16503;16262;15855;15174;14639;14487;14941;16161;17412;18691;19006;18629;16801;14650
"Krievi";"85 gadi un vairāk";9585;10400;11154;11783;12174;12614;12806;13022;12845;12762;12861;12807;13504;14503
"Lietuvieši";"Pavisam";26924;26138;25593;25025;24485;23944;23327;22831;22344;21938;21517;21046;20530;20155
"Lietuvieši";"0–4 gadi";386;349;305;316;315;329;332;365;324;330;294;268;259;248
"Lietuvieši";"5–9 gadi";645;556;490;450;396;370;353;314;324;321;339;346;359;326
"Lietuvieši";"10–14 gadi";764;749;742;725;676;593;528;473;434;386;362;351;314;320
"Lietuvieši";"15–19 gadi";1136;1006;874;800;773;724;704;690;686;640;576;521;484;441
"Lietuvieši";"20–24 gadi";1588;1482;1381;1261;1126;1044;922;784;720;714;677;670;667;669
"Lietuvieši";"25–29 gadi";1586;1609;1626;1569;1529;1463;1363;1267;1156;1029;945;862;741;688
"Lietuvieši";"30–34 gadi";1656;1577;1526;1493;1481;1491;1501;1536;1479;1467;1406;1309;1209;1115
"Lietuvieši";"35–39 gadi";1886;1807;1755;1699;1624;1589;1517;1458;1442;1417;1427;1478;1487;1432
"Lietuvieši";"40–44 gadi";2136;2089;2024;1942;1918;1779;1708;1659;1626;1548;1533;1484;1417;1412
"Lietuvieši";"45–49 gadi";2343;2245;2145;2102;2026;2010;1966;1898;1828;1806;1699;1643;1617;1586
"Lietuvieši";"50–54 gadi";2381;2358;2403;2313;2255;2178;2097;1994;1967;1920;1918;1903;1812;1761
"Lietuvieši";"55–59 gadi";1960;1932;1956;2060;2153;2178;2184;2231;2157;2103;2051;1988;1908;1893
"Lietuvieši";"60–64 gadi";1871;1881;1882;1820;1710;1705;1733;1772;1894;1976;2003;2023;2080;2042
"Lietuvieši";"65–69 gadi";2157;2000;1814;1670;1678;1663;1691;1694;1609;1523;1562;1592;1627;1723
"Lietuvieši";"70–74 gadi";1831;1875;1969;2021;1927;1840;1684;1536;1418;1467;1443;1467;1471;1403
"Lietuvieši";"75–79 gadi";1376;1362;1359;1382;1448;1483;1523;1587;1644;1576;1503;1353;1238;1173
