
"Laika periods";"Summārais dzimstības koeficients";"Atražošanās bruto koeficients";"Atražošanās neto koeficients";"Dzimstības vispārīgais koeficients";"Dzimstības vecumkoeficients sievietēm 15-49 gadu vecumā";"Dzimstības vecumkoeficients sievietēm 15-19 gadu vecumā";"Dzimstības vecumkoeficients sievietēm 20-24 gadu vecumā";"Dzimstības vecumkoeficients sievietēm 25-29 gadu vecumā";"Dzimstības vecumkoeficients sievietēm 30-34 gadu vecumā";"Dzimstības vecumkoeficients sievietēm 35-39 gadu vecumā";"Dzimstības vecumkoeficients sievietēm 40-44 gadu vecumā";"Dzimstības vecumkoeficients sievietēm 45-49 gadu vecumā"
"1965";1.74;0.838;;13.8;50.00;18.40;110.40;109.00;68.40;31.20;8.90;0.70
"1970";2.01;0.981;;14.6;54.00;27.70;146.90;118.50;69.70;31.80;7.60;0.50
"1971";2.05;1.009;0.970;14.8;55.68;28.02;150.41;118.47;71.29;32.18;7.40;0.54
"1972";2.03;0.976;0.950;14.6;55.14;26.77;149.18;119.15;70.39;32.34;7.28;0.44
"1973";1.96;0.958;0.930;14.1;53.37;27.48;148.21;111.87;66.69;30.27;7.12;0.45
"1974";1.99;0.961;0.930;14.3;54.54;28.59;148.88;115.93;66.81;31.08;7.20;0.42
"1975";1.96;0.953;0.920;14.2;54.14;28.79;150.35;113.37;63.48;29.49;6.66;0.37
"1976";1.93;0.932;0.900;14.0;53.72;29.87;149.06;110.87;59.80;28.56;6.79;0.40
"1977";1.88;0.916;0.890;13.8;52.95;31.43;147.71;106.95;58.01;26.06;6.23;0.34
"1978";1.86;0.908;0.880;13.7;52.86;34.25;147.61;104.45;55.77;24.48;5.78;0.34
"1979";1.86;0.902;0.880;13.8;53.52;36.40;151.60;102.37;54.10;23.19;5.72;0.25
"1980";1.88;0.916;0.900;14.1;54.98;39.89;154.78;104.41;53.13;22.14;5.19;0.19
"1981";1.88;0.910;0.890;14.2;55.40;39.19;153.50;104.16;55.10;22.03;5.00;0.33
"1982";1.97;0.957;0.940;14.8;58.15;39.29;161.75;108.00;56.32;24.56;5.51;0.24
"1983";2.12;1.032;1.010;15.9;62.99;39.78;171.03;121.90;62.43;25.45;5.54;0.27
"1984";2.14;1.049;1.030;15.9;63.34;42.51;171.36;119.92;63.07;26.45;5.47;0.45
"1985";2.08;1.011;0.990;15.4;61.47;42.61;168.16;118.20;59.65;24.14;4.80;0.14
"1986";2.21;1.083;1.060;16.1;64.67;44.76;176.11;122.22;64.40;27.46;5.83;0.25
"1987";2.21;1.076;1.050;16.0;64.67;44.17;173.79;123.11;65.81;28.45;5.73;0.28
"1988";2.16;1.045;1.020;15.6;63.14;44.43;174.51;116.36;62.97;26.87;6.52;0.28
"1989";2.04;0.989;0.965;14.6;59.55;44.73;167.05;107.54;58.90;23.77;5.58;0.29
"1990";2.00;0.980;0.955;14.2;58.22;49.87;163.93;99.58;57.50;23.32;5.25;0.21
"1991";1.86;0.908;0.882;13.1;53.92;50.85;151.24;92.01;50.24;21.18;5.11;0.17
"1992";1.74;0.847;0.824;12.1;50.39;48.59;142.70;87.30;45.86;19.22;4.25;0.27
"1993";1.52;0.748;0.728;10.4;43.65;44.05;123.87;78.45;38.25;15.72;3.90;0.24
"1994";1.41;0.687;0.665;9.6;40.11;34.04;110.73;79.09;37.23;16.01;3.97;0.26
"1995";1.27;0.610;0.592;8.7;35.99;29.94;98.94;72.71;33.49;15.36;3.39;0.29
"1996";1.18;0.568;0.551;8.1;33.09;25.83;90.11;68.05;33.06;14.78;3.35;0.19
"1997";1.13;0.544;0.530;7.7;31.60;21.53;83.90;66.31;34.63;15.13;4.27;0.24
"1998";1.12;0.545;0.529;7.6;30.97;18.96;79.89;67.82;36.74;15.03;4.09;0.20
"1999";1.18;0.575;0.560;8.1;32.67;18.98;79.98;75.54;40.18;16.92;4.03;0.21
"2000";1.25;0.611;0.594;8.6;34.33;24.09;81.67;77.71;42.94;17.82;3.83;0.19
"2001";1.22;0.600;0.586;8.4;33.59;22.46;78.46;75.11;44.47;18.62;4.17;0.16
"2002";1.25;0.610;0.597;8.7;34.43;21.34;76.55;80.07;48.36;19.39;4.27;0.26
"2003";1.32;0.638;0.624;9.2;36.30;22.44;78.41;83.90;53.34;20.63;4.65;0.20
"2004";1.29;0.624;0.612;9.1;35.56;21.31;74.78;80.76;52.12;23.12;5.12;0.20
"2005";1.39;0.680;0.664;9.8;38.27;21.58;74.10;89.97;59.86;26.14;4.92;0.28
"2006";1.46;0.717;0.703;10.3;40.48;23.74;76.78;93.21;64.13;27.86;5.73;0.29
"2007";1.54;0.756;0.741;10.9;42.97;25.09;77.14;99.99;67.32;31.64;6.40;0.30
"2008";1.58;0.774;0.766;11.2;44.63;25.56;76.83;101.70;72.46;33.60;6.78;0.27
"2009";1.46;0.718;0.711;10.3;41.62;22.01;66.26;95.61;67.99;34.01;7.70;0.32
"2010";1.36;0.656;0.647;9.4;38.84;18.18;59.52;88.29;67.28;31.56;7.63;0.34
"2011";1.33;0.648;0.645;9.1;38.37;19.72;55.76;84.76;67.99;32.61;7.20;0.23
"2012";1.45;0.702;0.692;9.8;41.82;20.39;58.67;92.36;73.24;37.18;7.63;0.30
"2013";1.53;0.754;0.745;10.2;44.56;20.12;60.14;96.32;79.10;40.78;9.38;0.40
